,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
74,s179,74,18,1, 'b' 'o',bo,0.16794457007199526,about,about,0,1140702
75,s179,75,18,2, 'o' 'u',ou,0.07999754184857011,about,about,0,7425307
76,s179,76,18,3, 'u' 't',ut,0.16007071221247315,about,about,0,3257233
77,s179,77,19,0,'p' 'u',pu,0.1041023163124919,puppy,puppy,1,514720
78,s179,78,19,1, 'u' 'p',up,0.8639273918233812,puppy,puppy,1,968744
79,s179,79,19,2, 'p' 'p',pp,0.15188747504726052,puppy,puppy,1,805170
80,s179,80,19,3, 'p' 'y',py,0.09612885117530823,puppy,puppy,1,149099
81,s179,81,20,0,'t' 'h',th,0.06410797499120235,theme,theme,2,22288309
82,s179,82,20,1, 'h' 'e',he,0.1358748273923993,theme,theme,2,21484684
83,s179,83,20,2, 'e' 'm',em,0.1201243856921792,theme,theme,2,2039661
84,s179,84,20,3, 'm' 'e',me,0.1519888020120561,theme,theme,2,4724108
85,s179,85,21,0,'h' 'e',he,0.1360922623425722,heond,heond,0,21484684
86,s179,86,21,1, 'e' 'o',eo,0.10386799601837993,heond,heond,0,305120
87,s179,87,21,2, 'o' 'n',on,0.16807459574192762,heond,heond,0,8830487
88,s179,88,21,3, 'n' 'd',nd,0.17594523401930928,heond,heond,0,9414961
89,s179,89,22,0,'c' 'h',ch,0.07996281003579497,champ,champ,1,3267507
90,s179,90,22,1, 'h' 'a',ha,0.1439464590512216,champ,champ,1,6967591
91,s179,91,22,2, 'a' 'm',am,0.10413636779412627,champ,champ,1,1610395
92,s179,92,22,3, 'm' 'p',mp,0.09599422989413142,champ,champ,1,1042198
93,s179,93,23,0,'a' 'b',ab,0.11197906313464046,about,about,1,1203849
94,s179,94,23,1, 'b' 'o',bo,0.16001870296895504,about,about,1,1140702
95,s179,95,23,2, 'o' 'u',ou,0.1040269210934639,about,about,1,7425307
96,s179,96,23,3, 'u' 't',ut,0.12800679774954915,about,about,1,3257233
97,s179,97,24,0,'v' 'a',va,0.11995621956884861,vanru,vanru,0,560130
98,s179,98,24,1, 'a' 'n',an,0.2399637931957841,vanru,vanru,0,12315713
99,s179,99,24,2, 'n' 'r',nr,0.36793775390833616,vanru,vanru,0,54341
100,s179,100,24,3, 'r' 'u',ru,0.19199057715013623,vanru,vanru,0,705492
101,s179,101,25,0,'c' 'h',ch,0.08807215420529246,champ,champ,2,3267507
102,s179,102,25,1, 'h' 'a',ha,0.11988586280494928,champ,champ,2,6967591
103,s179,103,25,2, 'a' 'm',am,0.1201138012111187,champ,champ,2,1610395
104,s179,104,25,3, 'm' 'p',mp,0.09589709714055061,champ,champ,2,1042198
105,s179,105,26,0,'p' 'y',py,0.14403568394482136,pykka,pykka,1,149099
106,s179,106,26,1, 'y' 'k',yk,0.32802422484382987,pykka,pykka,1,4767
107,s179,107,26,2, 'k' 'k',kk,0.11194303026422858,pykka,pykka,1,1820
108,s179,108,26,3, 'k' 'a',ka,0.13593578292056918,pykka,pykka,1,60568
109,s179,109,27,0,'t' 'h',th,0.1040910892188549,there,there,0,22288309
110,s179,110,27,1, 'h' 'e',he,0.13592546712607145,there,there,0,21484684
111,s179,111,27,2, 'e' 'r',er,0.072059724945575,there,there,0,12934901
112,s179,112,27,3, 'r' 'e',re,0.11202147277072072,there,there,0,10687711
113,s179,113,28,0,'w' 'o',wo,0.0960435732267797,would,would,1,1723496
114,s179,114,28,1, 'o' 'u',ou,0.07992770290002227,would,would,1,7425307
115,s179,115,28,2, 'u' 'l',ul,0.18403259199112654,would,would,1,2181271
116,s179,116,28,3, 'l' 'd',ld,0.15998411690816283,would,would,1,2012500
117,s179,117,29,0,'t' 'h',th,0.10404576733708382,therm,therm,1,22288309
118,s179,118,29,1, 'h' 'e',he,0.12792517989873886,therm,therm,1,21484684
119,s179,119,29,2, 'e' 'r',er,0.10402749385684729,therm,therm,1,12934901
120,s179,120,29,3, 'r' 'm',rm,0.20793340122327209,therm,therm,1,905131
121,s179,121,30,0,'b' 'e',be,0.16793066076934338,belly,belly,1,3798740
122,s179,122,30,1, 'e' 'l',el,0.13609201228246093,belly,belly,1,3235254
123,s179,123,30,2, 'l' 'l',ll,0.11987784085795283,belly,belly,1,4235407
124,s179,124,30,3, 'l' 'y',ly,0.15210794378072023,belly,belly,1,2589130
125,s179,125,31,0,'z' 'i',zi,0.11190399387851357,zibja,zibja,1,54565
126,s179,126,31,1, 'i' 'b',ib,0.17609845008701086,zibja,zibja,1,493267
127,s179,127,31,2, 'b' 'j',bj,0.21588965132832527,zibja,zibja,1,105433
128,s179,128,31,3, 'j' 'a',ja,0.1280637700110674,zibja,zibja,1,40073
129,s179,129,32,0,'t' 'h',th,0.0720054660923779,therm,therm,2,22288309
130,s179,130,32,1, 'h' 'e',he,0.13600150076672435,therm,therm,2,21484684
131,s179,131,32,2, 'e' 'r',er,0.07994140544906259,therm,therm,2,12934901
132,s179,132,32,3, 'r' 'm',rm,0.1360830799676478,therm,therm,2,905131
133,s179,133,33,0,'b' 'u',bu,0.21595426322892308,buddy,buddy,1,1183063
134,s179,134,33,1, 'u' 'd',ud,0.18406357895582914,buddy,buddy,1,458716
135,s179,135,33,2, 'd' 'd',dd,0.12787939002737403,buddy,buddy,1,306083
136,s179,136,33,3, 'd' 'y',dy,0.09597760904580355,buddy,buddy,1,360103
137,s179,137,34,0,'p' 'y',py,0.13594393199309707,pykka,pykka,2,149099
138,s179,138,34,1, 'y' 'k',yk,0.34408993972465396,pykka,pykka,2,4767
139,s179,139,34,2, 'k' 'k',kk,0.1359897810034454,pykka,pykka,2,1820
140,s179,140,34,3, 'k' 'a',ka,0.1358796013519168,pykka,pykka,2,60568
141,s179,141,35,0,'e' 't',ed,0.24013456422835588,edthe,ethe,1,7805967
142,s179,142,35,1, 't' 'h',dt,0.9920254666358232,edthe,ethe,1,11191
143,s179,143,35,2, 'h' 'e',th,0.13596433028578758,edthe,ethe,1,22288309
144,s179,144,36,0,'z' 'o',vo,0.3360009230673313,vodka,zodka,1,368238
145,s179,145,36,1, 'o' 'd',od,0.31998541206121445,vodka,zodka,1,1013147
146,s179,146,36,2, 'd' 'k',dk,0.20798089588060975,vodka,zodka,1,5347
147,s179,147,36,3, 'k' 'a',ka,0.10397660173475742,vodka,zodka,1,60568
148,s179,148,37,0,'c' 'o',co,0.9439437231048942,cooed,cooed,0,3609272
149,s179,149,37,1, 'o' 'o',oo,0.15204085176810622,cooed,cooed,0,1933683
150,s179,150,37,2, 'o' 'e',oe,0.2559711141511798,cooed,cooed,0,270012
151,s179,151,37,3, 'e' 'd',ed,0.21605718601495028,cooed,cooed,0,7805967
152,s179,152,38,0,'c' 'h',ch,0.1598674333654344,cheer,cheer,1,3267507
