,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
0,s263,0,champ,ch,ha,am,mp,c,h,a,m,p,,,0.8985046999296173,1.0182622999418527,1.1782839000225067,1.346375499968417,1.562373899971135,0.0,0.0,champ,medwf,
1,s263,1,there,th,he,er,re,t,h,e,r,e,,,0.84673190000467,0.9827225001063198,1.0947351000504568,1.2226232000393793,1.366703400039114,0.0,0.0,there,highwf,
2,s263,2,champ,ch,ha,am,mp,c,h,a,m,p,,,0.7947509998921305,0.9067102998960763,1.2987208999693394,1.4588033999316394,1.9867618998978287,0.0,0.0,champ,medwf,
3,s263,3,tithe,ti,it,th,he,t,i,t,h,e,,,0.8303584000095725,1.2225040000630543,1.3344828999834135,1.4143338000867516,1.5823217000579461,0.0,0.0,tithe,lowwf,
4,s263,4,lucky,lu,uc,ck,ky,l,u,c,k,y,,,0.9628100000554696,1.1546567000914365,1.266606600023806,1.4027465000981465,1.714749800041318,0.0,0.0,lucky,highwf,
5,s263,5,theme,th,he,em,me,t,h,e,m,e,,,0.6946595999179408,0.8145803998922929,0.9587013999698684,1.094609099905938,1.2146505999844521,0.0,0.0,theme,medwf,
6,s263,6,therm,th,he,er,rm,t,h,e,r,m,,,0.6664401999441907,0.770422299974598,0.9545151999918744,1.1224587999749929,1.3144988999702036,0.0,0.0,therm,lowwf,
7,s263,7,tithe,ti,it,th,he,t,i,t,h,e,,,0.7023387000663206,0.8865058000665158,1.022476900019683,1.054395499988459,1.2543180000502616,0.0,0.0,tithe,lowwf,
8,s263,8,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.9541753999656066,1.13021720002871,1.2662649999838322,1.762369200005196,2.074367900029756,0.0,0.0,druze,lowwf,
9,s263,9,faqir,fa,aq,qi,ir,f,a,q,i,r,,,1.1422839000588283,1.758442800026387,2.0623290999792516,2.9504285999573767,3.21428770001512,0.0,0.0,faqir,lowwf,
10,s263,10,therm,th,he,er,rm,t,h,e,r,m,,,0.7066252999939024,0.8106419999385253,0.9864770999411121,1.2105037999572232,1.338893000036478,0.0,0.0,therm,lowwf,
11,s263,11,cooed,co,oo,oe,ed,c,o,o,e,d,,,0.9508994000498205,1.2305513999890536,1.366559399990365,1.5106140000279993,1.678557200008072,0.0,0.0,cooed,lowwf,
12,s263,12,about,ab,bo,ou,ut,a,b,u,t,,,,0.7705024000024423,0.898462799959816,1.1466628999914974,1.314435699954629,0.0,0.0,0.0,abut,highwf,
13,s263,13,puppy,pu,up,pp,py,p,u,p,p,y,,,0.9749085999792442,1.174742899951525,1.4546256000176072,1.5905515999766067,1.6787328000646085,0.0,0.0,puppy,medwf,
14,s263,14,cheer,ch,he,ee,er,c,h,e,e,r,,,0.8343909999821335,0.962398900068365,1.1864557000808418,1.3224110000301152,1.4503888000035658,0.0,0.0,cheer,medwf,
15,s263,15,haole,ha,ao,ol,le,h,a,o,l,e,,,0.9101902000838891,1.1262363999849185,1.350527200032957,1.5102744000032544,1.6145399999804795,0.0,0.0,haole,lowwf,
16,s263,16,edthe,ed,dt,th,he,e,d,t,h,e,,,0.9383535999804735,1.1303917999612167,1.3304212000221014,1.4264036000240594,1.5144918999867514,0.0,0.0,edthe,pseudo,
17,s263,17,pykka,py,yk,kk,ka,p,y,k,k,a,,,1.1345649999566376,1.3984440000494942,1.7263456999789923,1.8463563000550494,2.0784606999950483,0.0,0.0,pykka,pseudo,
18,s263,18,lucky,lu,uc,ck,ky,l,u,k,y,,,,0.9863628000020981,1.2184294000035152,1.4904253999702632,2.9625866999849677,0.0,0.0,0.0,luky,highwf,
19,s263,19,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.1662574999500066,1.326423899969086,1.5424703999888152,1.8703888000454754,2.006391800008714,0.0,0.0,zibja,pseudo,
20,s263,20,haole,ha,ao,ol,le,h,a,o,l,e,,,1.0104324000421911,1.2342592999339104,1.4824209000216797,1.6584532000124454,1.826270499965176,0.0,0.0,haole,lowwf,
21,s263,21,cheer,ch,he,ee,er,c,h,e,e,r,,,0.8779713999247178,1.0060077999951318,1.1660359998932108,1.5180529999779537,1.66196850000415,0.0,0.0,cheer,medwf,
22,s263,22,vanru,va,an,nr,ru,v,a,n,r,u,,,1.0422755000181496,1.1704483000794426,1.3703906000591815,1.8663888000883162,1.9862393999937922,0.0,0.0,vanru,pseudo,
23,s263,23,about,ab,bo,ou,ut,a,b,o,u,t,,,0.9182629999704659,1.086147699970752,1.2941760999383405,1.4622707999078557,1.5741843999130651,0.0,0.0,about,highwf,
24,s263,24,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.1382547999965027,1.354257999919355,1.5704923999728635,1.7382636999245733,1.8822636998957023,0.0,0.0,zibja,pseudo,
25,s263,25,kremp,kr,re,em,mp,k,r,e,m,p,,,1.1981716000009328,1.3742694000247866,1.534110500011593,2.0702495999867097,2.2541670000646263,0.0,0.0,kremp,pseudo,
26,s263,26,belly,be,el,ll,ly,b,e,l,l,y,,,0.9703177000628784,1.130356500041671,1.4421786000020802,1.5701836000662297,1.7381484999787062,0.0,0.0,belly,medwf,
27,s263,27,tithe,ti,it,th,he,t,i,t,h,e,,,0.9821661999449134,1.1021437000017613,1.2142376999836415,1.3021425999468192,1.4463372000027448,0.0,0.0,tithe,lowwf,
28,s263,28,theme,th,he,em,me,t,h,e,m,e,,,0.658177400007844,0.7541420001070946,0.8980454000411555,1.0180815000785515,1.1221598000265658,0.0,0.0,theme,medwf,
29,s263,29,lucky,lu,uc,ck,ky,l,u,c,k,y,,,0.8380901999771595,1.062247599940747,1.2700207999441773,1.3660366999683902,1.5580893999431282,0.0,0.0,lucky,highwf,
30,s263,30,cooed,co,oo,oe,ed,c,o,o,e,d,,,0.8980690999887884,1.1140992000000551,1.2501798999728635,1.3860256999032572,1.5383473999099806,0.0,0.0,cooed,lowwf,
31,s263,31,edthe,ed,dt,th,he,e,d,t,h,e,,,0.8701003000605851,1.0380355999805033,1.2299962000688538,1.3100379999959841,1.4299984000390396,0.0,0.0,edthe,pseudo,
32,s263,32,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.8021778000984341,0.9780568000860512,1.105994600104168,1.242018699995242,1.3781293000793085,0.0,0.0,buddy,highwf,
33,s263,33,puppy,pu,up,pp,py,p,u,p,p,y,,,1.005630400031805,1.2217733999714255,1.501897000009194,1.6536881999345496,1.7656051999656484,0.0,0.0,puppy,medwf,
34,s263,34,would,wo,ou,ul,ld,w,o,u,l,d,,,0.9859299000818282,1.1619453000603244,1.2981692000757903,1.482126299990341,1.690116300014779,0.0,0.0,would,highwf,
35,s263,35,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.4459086999995634,1.5738991999533027,2.070026599918492,2.245851399959065,2.4139888999052346,0.0,0.0,zibja,pseudo,
36,s263,36,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.9459074001060799,1.089979900047183,1.3539302001008764,1.506071100011468,1.6178942000260577,0.0,0.0,vodka,medwf,
37,s263,37,haole,ha,ao,ol,le,h,a,o,l,e,,,0.9020126999821514,1.0700574000366032,1.5100675000576302,1.709978900034912,1.8058858000440523,0.0,0.0,haole,lowwf,
38,s263,38,heond,he,eo,on,nd,h,e,o,n,d,,,0.8740134999388829,1.362493499997072,1.5058290999149904,1.770035699941218,1.9939878999721259,0.0,0.0,heond,pseudo,
39,s263,39,vanru,va,an,nr,ru,v,a,n,r,u,,,0.8380699999397621,1.005929599981755,1.1181529000168666,1.2779806000180542,1.405956899980083,0.0,0.0,vanru,pseudo,
40,s263,40,there,th,he,er,re,t,h,e,r,e,,,0.777828500024043,0.8898759000003338,0.9858623000327498,1.1138428000267595,1.2499628000659868,0.0,0.0,there,highwf,
41,s263,41,would,wo,ou,ul,ld,w,o,u,l,d,,,0.9739630999974906,1.3343591000884771,1.5417884000344202,1.861815300071612,1.9499069000594318,0.0,0.0,would,highwf,
42,s263,42,haole,ha,ao,ol,le,h,a,o,l,e,,,0.8498318999772891,0.937853500014171,1.0979128000326455,1.28174680005759,1.3937983000651002,0.0,0.0,haole,lowwf,
43,s263,43,would,wo,ou,ul,ld,w,o,u,l,d,,,0.9259322000434622,1.069757999968715,1.1736905999714509,1.3897954999702051,1.4777194999624044,0.0,0.0,would,highwf,
44,s263,44,puppy,pu,up,pp,py,p,u,p,p,y,,,1.073842899990268,1.289751600008458,1.5456986000062898,1.68972079991363,1.7776329999323934,0.0,0.0,puppy,medwf,
45,s263,45,druze,dr,ru,uz,ze,d,d,r,r,u,s,e,0.9098781999200583,1.0376752999145538,1.061638499959372,1.6938957999227569,2.693702799966559,2.781891099992208,2.965785599895753,ddrruse,lowwf,
46,s263,46,think,th,hi,in,nk,t,h,i,n,k,,,0.8736559000099078,0.9697718999814242,1.1217628000304103,1.2818534999387339,1.38578749995213,0.0,0.0,think,highwf,
47,s263,47,kremp,kr,re,em,mp,k,r,e,m,p,,,0.9417996999109164,1.037726099952124,1.1896291999146342,1.325608899933286,1.4458315999945626,0.0,0.0,kremp,pseudo,
48,s263,48,tithe,ti,it,th,he,t,i,h,t,e,,,0.841838699998334,1.0016514000017196,1.105598199996166,2.4016889999620616,3.289701299974695,0.0,0.0,tihte,lowwf,
49,s263,49,buddy,bu,ud,dd,dy,n,u,d,d,y,,,1.365818400052376,1.4855619999580085,1.5976641000015661,1.7417144000064582,1.9097122000530362,0.0,0.0,nuddy,highwf,
50,s263,50,there,th,he,er,re,t,h,e,r,e,,,0.8255218000849709,0.9374738000333309,1.0335867000976577,1.1695342999882996,1.2255352000938728,0.0,0.0,there,highwf,
51,s263,51,druze,dr,ru,uz,ze,d,r,u,z,e,,,1.0297290000598878,1.1896571000106633,1.9575165000278503,2.0135611000005156,2.229450899991207,0.0,0.0,druze,lowwf,
52,s263,52,cooed,co,oo,oe,ed,c,o,o,e,d,,,1.1615988000994548,1.5694779000477865,1.7135696000186726,1.8574736000737175,2.02549520006869,0.0,0.0,cooed,lowwf,
53,s263,53,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.8055871999822557,1.0615874000359327,1.52560439996887,1.6856149999657646,1.9414614000124857,0.0,0.0,druze,lowwf,
54,s263,54,think,th,hi,in,nk,t,h,i,n,k,,,0.8336642000358552,1.0013980999356136,1.2337404999416322,1.377406199928373,1.5614954000338912,0.0,0.0,think,highwf,
55,s263,55,about,ab,bo,ou,ut,a,s,b,o,u,t,,0.7895489999791607,0.7895489999791607,1.4454961000010371,1.7493787000421435,1.9334541000425816,2.045255900011398,0.0,asbout,highwf,
56,s263,56,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.9536207999335602,1.8815316000254825,2.137494600028731,2.745379599975422,2.8654151000082493,0.0,0.0,faqir,lowwf,
57,s263,57,cheer,ch,he,ee,er,c,h,e,e,r,,,1.005455799982883,1.181442000088282,1.5414053000276908,1.8294298000400886,1.9733512999955565,0.0,0.0,cheer,medwf,
58,s263,58,kremp,kr,re,em,mp,k,r,e,m,p,,,1.0973929999163374,1.2654784999322146,1.4173865999327973,1.5773742999881506,1.7533267999533564,0.0,0.0,kremp,pseudo,
59,s263,59,heond,he,eo,on,nd,h,e,o,u,n,d,,1.1007628999650478,1.2126760999672115,1.404513599933125,1.5405707999598235,2.7245580999879166,2.852638299926184,0.0,heound,pseudo,
60,s263,60,would,wo,ou,ul,ld,w,o,u,o,l,d,,0.8734477999387309,1.08933570003137,1.2333347999956459,1.457291999948211,1.4652481999946758,1.7372979000210762,0.0,wouold,highwf,
61,s263,61,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.8372927000746131,1.1253977000014856,1.6693512999918312,1.9893271999899298,2.165274200029671,0.0,0.0,faqir,lowwf,
62,s263,62,edthe,ed,dt,th,he,e,d,t,h,e,,,0.7931545999599621,0.9773421999998391,1.1453337999992073,1.25713879999239,1.3453414000105113,0.0,0.0,edthe,pseudo,
63,s263,63,cheer,ch,he,ee,er,c,h,e,e,r,,,0.7732864000136033,0.9252790999598801,1.0531481999205425,1.2052000999683514,1.3331612999318168,0.0,0.0,cheer,medwf,
64,s263,64,pykka,py,yk,kk,ka,p,y,k,k,a,,,1.3696265000617132,1.633430500049144,1.9372710000025108,2.033257700037211,2.489213600056246,0.0,0.0,pykka,pseudo,
65,s263,65,edthe,ed,dt,th,he,e,d,t,h,a,,,0.8691690999548882,1.077310899971053,1.2132771000033244,1.3812422000337392,1.477176700020209,0.0,0.0,edtha,pseudo,
66,s263,66,champ,ch,ha,am,mp,c,h,a,m,p,,,0.8731092000380158,1.0172454999992624,1.1371352000860497,1.2811769000254571,1.4811976000200957,0.0,0.0,champ,medwf,
67,s263,67,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.8530482000205666,1.3252235000254586,1.5170293999835849,1.9176213999744505,2.141063499962911,0.0,0.0,druze,lowwf,
68,s263,68,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.2490619999589399,1.3932624999433756,1.553221899899654,1.71323189989198,1.8329691999824718,0.0,0.0,zibja,pseudo,
69,s263,69,there,th,he,er,re,t,h,e,r,e,,,1.125082700047642,1.2210310000227764,1.3810701000038534,1.5890218999702483,1.7009519999846816,0.0,0.0,there,highwf,
70,s263,70,cheer,ch,he,ee,er,c,h,e,e,r,,,1.1529694999335334,1.2809815999353305,1.433061399962753,1.5929891999112442,1.721104500000365,0.0,0.0,cheer,medwf,
71,s263,71,pykka,py,yk,kk,ka,p,y,k,k,a,,,1.477046399959363,1.8371451999992132,2.2770895999856293,2.388994300039485,2.5809889000374824,0.0,0.0,pykka,pseudo,
72,s263,72,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.8568715000292286,1.1449150000698864,1.5609772000461817,1.9848914000904188,2.137042900081724,0.0,0.0,faqir,lowwf,
73,s263,73,haole,ha,ao,ol,le,h,a,o,l,e,,,0.8770271999528632,1.1089355000294745,1.3411292999517173,1.5249533000169322,1.6369800999527797,0.0,0.0,haole,lowwf,
74,s263,74,theme,th,he,em,me,t,h,e,m,e,,,0.984913400025107,1.081004000036046,1.2330693000694737,1.3369295001029968,1.4328439000528306,0.0,0.0,theme,medwf,
75,s263,75,therm,th,he,er,rm,t,h,e,r,m,,,0.820862099993974,0.9009883999824524,1.0610285999719054,1.1889684000052512,1.2128976000240073,0.0,0.0,therm,lowwf,
76,s263,76,about,ab,bo,ou,ut,a,b,o,u,t,,,0.8170011999318376,0.9128237999975681,1.0808346000267193,1.1447965999832377,1.256808599922806,0.0,0.0,about,highwf,
77,s263,77,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.7167859999462962,0.9089748000260442,1.508906599949114,1.7889675999758765,1.9247734999516979,0.0,0.0,faqir,lowwf,
78,s263,78,heond,he,eo,on,nd,h,e,o,n,d,,,0.8728214000584558,1.016959400032647,1.4409860000014305,1.5927554999943823,1.6810220000334084,0.0,0.0,heond,pseudo,
79,s263,79,theme,th,he,em,me,t,h,e,r,m,e,,0.6926854000193998,0.7807120999787003,0.9327221000567079,0.9487070000031963,1.0447114000562578,1.1327231000177562,0.0,therme,medwf,
80,s263,80,lucky,lu,uc,ck,ky,l,u,c,k,y,,,1.080668899929151,1.24067530001048,1.3448767999652773,1.4566521999659017,1.600648200022988,0.0,0.0,lucky,highwf,
81,s263,81,vodka,vo,od,dk,ka,v,o,d,k,a,,,1.0608711000531912,1.228821499971673,1.6367000000318512,1.7408556999871507,1.9167340999701992,0.0,0.0,vodka,medwf,
82,s263,82,there,th,he,er,re,t,h,e,r,e,,,0.8728289999999106,0.9848686999175698,1.0807710000080988,1.1528474999358878,1.2647727000294253,0.0,0.0,there,highwf,
83,s263,83,heond,he,eo,on,nd,h,e,o,n,d,,,1.0526973999803886,1.1486216000048444,1.3085568000096828,1.5246934000169858,1.612679300014861,0.0,0.0,heond,pseudo,
84,s263,84,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.8009885000064969,0.9285360000794753,0.9846537000266835,1.1366734000621364,1.3206526000285521,0.0,0.0,buddy,highwf,
