,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
0,s189,0,would,wo,ou,ul,ld,w,o,u,l,d,,0.8426349689252675,0.9865408707410097,1.0986708789132535,1.2826563999988139,1.418558632954955,0.0,would,highwf,medbf
1,s189,1,belly,be,el,ll,ly,b,e,l,l,y,,0.8293384211137891,0.965358573012054,1.1253738082014024,1.3013351699337363,1.4854013309814036,0.0,belly,medwf,medbf
2,s189,2,vanru,va,an,nr,ru,v,a,n,r,u,,1.0013919337652624,1.2254582270979881,1.4814064428210258,1.7694830927066505,1.929447307717055,0.0,vanru,pseudo,medbf
3,s189,3,tithe,ti,it,th,he,t,i,t,h,e,,0.9173519280739129,1.0773434713482857,1.3173540262505412,1.4694639281369746,1.6374689424410462,0.0,tithe,lowwf,highbf
4,s189,4,cooed,co,oo,oe,ed,c,o,o,e,d,,0.7694928827695549,1.0094261667691171,1.169463959056884,1.5695735439658165,1.8174156886525452,0.0,cooed,lowwf,medbf
5,s189,5,kremp,kr,re,em,mp,k,r,e,m,p,,0.7334555322304368,1.2214620090089738,1.4293795241974294,2.2214667359367013,2.4694997118785977,0.0,kremp,pseudo,medbf
6,s189,6,champ,ch,ha,am,mp,c,h,a,m,p,,0.7453648578375578,0.8973274808377028,1.0653831236995757,1.2172658029012382,1.4092585076577961,0.0,champ,medwf,medbf
7,s189,7,cooed,co,oo,oe,ed,c,o,o,e,d,,0.7572384672239423,0.9973280541598797,1.1653411244042218,1.2772174761630595,1.4853059062734246,0.0,cooed,lowwf,medbf
8,s189,8,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.5125391208566725,1.7364800260402262,2.5445611979812384,2.8164284490048885,2.9365380541421473,0.0,zibja,pseudo,lowbf
9,s189,9,belly,be,el,ll,ly,b,e,l,l,y,,0.757445091381669,0.8694207430817187,1.0134448590688407,1.1894504320807755,1.333443263079971,0.0,belly,medwf,medbf
10,s189,10,pykka,py,yk,kk,ka,p,y,k,k,a,,0.8575323903933167,1.1214551450684667,1.7934995139949024,1.9455448961816728,2.065456801094115,0.0,pykka,pseudo,lowbf
11,s189,11,tithe,ti,it,th,he,t,i,t,h,e,,0.89341033808887,1.0374762788414955,1.2534381281584501,1.3734528059139848,1.541484349872917,0.0,tithe,lowwf,highbf
12,s189,12,faqir,fa,aq,qi,ir,f,a,q,i,r,,1.0333894761279225,1.2333953869529068,2.10541280079633,2.3213576897978783,2.5853254818357527,0.0,faqir,lowwf,lowbf
13,s189,13,cooed,co,oo,oe,ed,c,o,o,e,d,,0.9015007810667157,1.2294110376387835,1.3814206440001726,1.4854532298631966,1.6694848877377808,0.0,cooed,lowwf,medbf
14,s189,14,lucky,lu,uc,ck,ky,l,u,c,k,y,,0.6893889489583671,0.8812569999136031,0.9453768930397928,1.1373357912525535,1.393285539932549,0.0,lucky,highwf,lowbf
