,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
0,s198,0,heond,he,eo,on,nd,h,e,o,n,d,,1.2249255070346408,1.488880422024522,1.592881988035515,1.8169045310351066,1.9288555100210942,0.0,heond,pseudo,
1,s198,1,puppy,pu,up,pp,py,p,u,p,p,y,,0.8269523450289853,1.0589600990060717,1.258958414022345,1.4109904629876837,1.6110791150131263,0.0,puppy,medwf,
2,s198,2,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.222113191965036,1.3741067149676383,2.1580885109724477,2.6380695219850168,2.7741153679671697,0.0,zibja,pseudo,
3,s198,3,about,ab,bo,ou,ut,a,b,o,u,t,,0.7552375929662958,0.8671536309993826,1.0752820459892973,1.1552238009753637,1.259124280011747,0.0,about,highwf,
4,s198,4,tithe,ti,it,th,he,t,i,t,h,e,,0.9589544559712522,1.071022557967808,1.2470196529757231,1.5429077809676528,2.1509081789990887,0.0,tithe,lowwf,
5,s198,5,druze,dr,ru,uz,ze,d,r,u,z,e,,0.8511775900260545,1.0753638559835963,1.1632713730214164,1.5712684390018694,1.8192912639933638,0.0,druze,lowwf,
6,s198,6,cooed,co,oo,oe,ed,c,o,o,e,d,,0.7673878829809837,0.9354766790056601,1.1194172849645838,1.2313951620017178,1.4314348030020483,0.0,cooed,lowwf,
7,s198,7,lucky,lu,uc,ck,ky,l,u,c,k,y,,0.6427997259888798,0.8188335730228573,0.9307932020165026,1.0588779560057446,1.250783235009294,0.0,lucky,highwf,
8,s198,8,vodka,vo,od,dk,ka,v,o,d,k,a,,0.9592664299998432,1.0472599820350297,1.2552750440081581,1.487290411023423,1.5671674930490553,0.0,vodka,medwf,
9,s198,9,tithe,ti,it,th,he,t,i,t,h,e,,0.8273581250105053,1.0034523130161688,1.2594494700315408,1.3554484950145707,1.9793369870167226,0.0,tithe,lowwf,
10,s198,10,about,ab,bo,ou,ut,a,b,o,u,t,,0.679139947053045,0.7911389640066773,0.999162309046369,1.0871732120285742,1.1991842450224794,0.0,about,highwf,
11,s198,11,champ,ch,ha,am,mp,c,h,a,m,p,,0.8269985989900306,0.9150595890241675,1.0749991440097801,1.1950420250068419,1.4110600790008903,0.0,champ,medwf,
12,s198,12,cheer,ch,he,ee,er,c,h,e,e,r,,0.6875722979893908,0.7835916519979946,0.9434920100029558,1.1115835169912316,1.2955501839751378,0.0,cheer,medwf,
13,s198,13,belly,be,el,ll,ly,b,e,l,l,y,,0.779299005982466,0.8913542379741557,1.075383335002698,1.2353016079869121,1.4113208029884845,0.0,belly,medwf,
14,s198,14,edthe,ed,dt,th,he,e,d,t,h,e,,0.8070784389856271,1.0951740460004658,1.7191674169735052,1.7991592600010335,2.2231498059700243,0.0,edthe,pseudo,
15,s198,15,lucky,lu,uc,ck,ky,l,u,c,k,y,,0.6511534820310771,0.8431603300268762,0.9791757900384255,1.0833032270311378,1.2672237069928087,0.0,lucky,highwf,
16,s198,16,heond,he,eo,on,nd,h,e,o,n,d,,0.7832277279812843,0.9352188300108537,1.0231772219995037,1.2071699709631503,1.2791177199687809,0.0,heond,pseudo,
17,s198,17,haole,ha,ao,ol,le,h,a,o,l,e,,0.8834406139794737,1.219364066957496,1.771358068974223,2.2034019619459286,2.4512946879840456,0.0,haole,lowwf,
18,s198,18,think,th,hi,in,nk,t,h,i,n,k,,0.6871962190489285,0.7592285890132189,0.8872594500426203,1.0472310000332072,1.1911446599988267,0.0,think,highwf,
19,s198,19,about,ab,bo,ou,ut,a,b,o,u,t,,0.6029314139741473,0.6989031639532186,0.8989201579825021,0.9709338109823875,1.0989230489940383,0.0,about,highwf,
20,s198,20,theme,th,he,em,me,t,h,e,m,e,,0.630765434994828,0.7108361840364523,0.862886291986797,0.9667564510018565,1.0868714959942736,0.0,theme,medwf,
21,s198,21,tithe,ti,it,th,he,t,h,t,e,,,0.691085624974221,0.7791526970104314,0.939173195976764,1.8191594330128282,0.0,0.0,thte,lowwf,
22,s198,22,edthe,ed,dt,th,he,e,d,t,h,e,,0.8151906249695458,1.0872055200161412,1.535172762000002,1.6151543259620667,2.111231880960986,0.0,edthe,pseudo,
23,s198,23,cooed,co,oo,oe,ed,c,o,o,e,d,,0.6590401040157303,0.835045310028363,0.9950547880143858,1.0832682700129226,1.274952467996627,0.0,cooed,lowwf,
