,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
0,s267,0,think,th,hi,in,nk,t,h,i,n,k,,0.9410337999579497,1.0291515999706462,1.197156299953349,1.3330462999874726,1.5730176999932155,0.0,think,highwf,
1,s267,1,druze,dr,ru,uz,ze,d,r,u,z,e,,1.2177743999636732,1.4177669999771751,1.5857090999488719,2.665911399992183,2.8577685999916866,0.0,druze,lowwf,
2,s267,2,heond,he,eo,on,nd,h,e,o,n,d,,1.5817566000041552,1.9097375000128523,2.189746499992907,2.3737447999883443,3.2377595999860205,0.0,heond,pseudo,
3,s267,3,vanru,va,an,nr,ru,v,a,n,r,u,,1.3057395000359975,2.073738200007938,2.2577445000060834,2.569744200038258,2.825689700024668,0.0,vanru,pseudo,
4,s267,4,belly,be,el,ll,ly,b,e,l,l,y,,0.805769499973394,0.9256794999819249,1.261720099952072,1.3897609999985434,1.6378291999571957,0.0,belly,medwf,
5,s267,5,about,ab,bo,ou,ut,a,b,o,u,t,,1.0737316000158899,1.1537229000241496,1.3698072000406682,1.4577289000153542,1.633978100027889,0.0,about,highwf,
6,s267,6,would,wo,ou,ul,ld,w,o,u,l,d,,1.1096950999926776,1.2376857999479398,1.3177918999572285,1.5256324999500066,1.6537840999662876,0.0,would,highwf,
7,s267,7,vanru,va,an,nr,ru,v,a,n,r,u,,1.0258397000143304,1.1698171999887563,1.2978313000057824,1.6097005999763496,2.0257324000122026,0.0,vanru,pseudo,
8,s267,8,faqir,fa,aq,qi,ir,f,a,q,u,i,,0.9736399999819696,1.7736679000081494,2.5976754000294022,2.7498537999927066,3.0858623000094667,0.0,faqui,lowwf,
9,s267,9,there,th,he,er,re,t,h,e,r,e,,1.2416541999555193,1.3377635999931954,1.4736309999716468,1.5776207000017166,1.7215539999888279,0.0,there,highwf,
10,s267,10,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.31807719997596,1.6297013000003062,2.429603800002951,2.669606599956751,2.821699899970554,0.0,zibja,pseudo,
11,s267,11,kremp,kr,re,em,mp,k,r,e,m,,,1.8017042000428773,2.2497277000220492,2.385554500040598,3.2095969000365585,0.0,0.0,krem,pseudo,
12,s267,12,lucky,lu,uc,ck,ky,l,u,c,k,y,,1.2935952000552788,1.5496243000379764,1.7096304000006057,1.821685900038574,2.077701000031084,0.0,lucky,highwf,
13,s267,13,druze,dr,ru,uz,ze,d,r,u,z,e,,0.9374798000208102,1.1216142000048421,1.2415008000098169,1.8735044000204653,2.153623999969568,0.0,druze,lowwf,
14,s267,14,think,th,hi,in,nk,t,h,i,n,k,,0.7975151999853551,0.8696342000039294,1.0215977999614552,1.1415141999605112,1.317566599987913,0.0,think,highwf,
15,s267,15,druze,dr,ru,uz,ze,d,r,u,z,e,,0.9615025999955833,1.1374674999970011,1.2656078000436537,1.825534300005529,2.097637000028044,0.0,druze,lowwf,
16,s267,16,belly,be,el,ll,ly,b,e,l,l,y,,0.8294827000354417,0.9336540999938734,1.1495609999983571,1.2856193000334315,1.5414716000086628,0.0,belly,medwf,
17,s267,17,vodka,vo,od,dk,ka,v,o,d,k,a,,1.3934268999728374,1.5053596000070684,1.6895136999664828,1.905347799998708,2.289399900007993,0.0,vodka,medwf,
18,s267,18,faqir,fa,aq,qi,ir,f,a,q,,,,2.6934428999666125,2.9174516999628395,3.3974357999977656,0.0,0.0,0.0,faq,lowwf,
19,s267,19,tithe,ti,it,th,he,t,i,t,h,e,,1.3853486999869347,1.521390399953816,1.6653276999713853,1.8494967999868095,2.425469699956011,0.0,tithe,lowwf,
20,s267,20,therm,th,he,er,rm,t,h,e,r,m,,1.9014444000204094,2.0134283000370488,2.1975080000120215,2.2533859999966808,2.501512300048489,0.0,therm,lowwf,
21,s267,21,puppy,pu,up,pp,py,p,u,p,p,y,,1.0893627000041306,1.361444499983918,1.6413448000093922,1.7533282999647781,2.025295500003267,0.0,puppy,medwf,
22,s267,22,kremp,kr,re,em,mp,k,r,e,m,p,,1.533278499962762,1.6534105999744497,1.7333886999986134,1.9253088999539614,2.117458499968052,0.0,kremp,pseudo,
23,s267,23,vanru,va,an,nr,ru,v,a,n,r,u,,1.1852978999959305,1.3293508000206202,1.4413514999905601,1.665261099988129,1.8413031999953091,0.0,vanru,pseudo,
24,s267,24,puppy,pu,up,pp,py,p,u,p,p,y,,0.9973361999727786,1.253389099962078,1.5253950000042096,1.6374337999732234,1.8935086999554187,0.0,puppy,medwf,
25,s267,25,about,ab,bo,ou,ut,a,b,o,u,t,,1.049261900014244,1.097236100002192,1.3372460000100546,1.4251801000209525,1.6012438000179827,0.0,about,highwf,
