,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
0,s261,0,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.08093260001624,1.20902730000671,1.6489129000110552,1.8568768000113778,1.9210210000164807,0.0,zibja,pseudo,
1,s261,1,edthe,ed,dt,th,he,e,d,t,h,e,,0.845160000026226,1.0691482000402175,1.3091727000428364,1.381128900044132,1.5331219000509009,0.0,edthe,pseudo,
2,s261,2,would,wo,ou,ul,ld,w,o,u,l,d,,0.7851422000094317,0.8652938000159338,1.0250858999788761,1.3052691000048071,1.4410910999868065,0.0,would,highwf,
3,s261,3,tithe,ti,it,th,he,t,i,t,h,e,,0.7490404999698512,0.8611291999695823,1.0131503999582492,1.0849888999946415,1.2372857999871485,0.0,tithe,lowwf,
4,s261,4,vanru,va,an,nr,ru,v,a,n,r,u,,0.8011199000175111,0.8811530999955721,1.1050121000153013,1.3692507999949157,1.457109600014519,0.0,vanru,pseudo,
5,s261,5,cheer,ch,he,ee,er,c,h,e,e,r,,0.7329929000115953,0.8129639000399038,0.9650785000412725,1.1330564999952912,1.2689970000064932,0.0,cheer,medwf,
6,s261,6,about,ab,bo,ou,ut,a,b,o,u,t,,0.6009417999885045,0.7771600999985822,1.0649324000114575,1.5369375000009313,1.601170199981425,0.0,about,highwf,
7,s261,7,heond,he,eo,on,nd,h,e,o,n,d,,0.772914299974218,0.8928900000173599,1.0688849000143819,1.3169859999907203,1.5169543999945745,0.0,heond,pseudo,
8,s261,8,cheer,ch,he,ee,er,c,h,e,e,r,,0.6009293999522924,0.6729519999935292,0.8809343999600969,1.0409954999922775,1.128917099966202,0.0,cheer,medwf,
9,s261,9,would,wo,ou,ul,ld,w,o,u,l,d,,0.6448906000005081,0.7490423999843188,0.87700209999457,1.1569948000251316,1.2528639000374824,0.0,would,highwf,
10,s261,10,edthe,ed,dt,th,he,e,d,t,h,e,,0.6648483999888413,0.8808481000014581,1.0889120000065304,1.1689571000169963,1.3368494000169449,0.0,edthe,pseudo,
11,s261,11,heond,he,eo,on,nd,h,e,o,n,d,,0.8607736999983899,0.956897999974899,1.1248621999984607,1.3487747000181116,1.4928854000172578,0.0,heond,pseudo,
