,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
0,s207,0,champ,ch,ha,am,mp,c,h,a,m,p,,0.981517018051818,1.093402469996363,1.2054315090645105,1.3814162670169026,1.6054739782121032,0.0,champ,medwf,
1,s207,1,zibja,zi,ib,bj,ja,z,i,b,j,a,,1.6632602231111377,1.9913290140684694,2.7591604781337082,3.0872578860726207,3.183149819029495,0.0,zibja,pseudo,
2,s207,2,vodka,vo,od,dk,ka,v,o,d,k,a,,1.3799547110684216,1.5478193711023778,1.7958189269993454,1.9558982411399484,2.1078906040638685,0.0,vodka,medwf,
3,s207,3,lucky,lu,uc,ck,ky,l,u,c,k,y,,0.9280149368569255,1.1200508009642363,1.2720051498617977,1.3920685308985412,1.6240485219750553,0.0,lucky,highwf,
4,s207,4,faqir,fa,aq,qi,ir,f,a,q,i,r,,1.1639501790050417,1.2679208430927247,1.7080411850474775,1.9560339080635458,2.204041285905987,0.0,faqir,lowwf,
5,s207,5,lucky,lu,uc,ck,ky,l,u,c,k,y,,0.9036636499222368,1.087672933936119,1.1596440870780498,1.3276471870485693,1.511787978000939,0.0,lucky,highwf,
6,s207,6,kremp,kr,re,em,mp,k,r,e,m,p,,1.2276708919089288,1.4037054169457406,1.5156492968089879,1.683687537908554,1.8996233087964356,0.0,kremp,pseudo,
7,s207,7,cooed,co,oo,oe,ed,c,o,o,e,d,,1.063922386849299,1.2398318820632994,1.367822472937405,1.5119446539320052,1.6639170618727803,0.0,cooed,lowwf,
8,s207,8,theme,th,he,em,me,t,h,e,m,e,,0.8360776279587299,0.9001232739537954,1.0600314040202647,1.156022964976728,1.268009423976764,0.0,theme,medwf,
9,s207,9,faqir,fa,aq,qi,ir,f,a,q,i,r,,1.0960257260594517,1.2400261999573559,1.9439476169645786,2.2959516011178493,2.400062080938369,0.0,faqir,lowwf,
10,s207,10,heond,he,eo,on,nd,h,e,o,n,d,,1.0437888740561903,1.187924669124186,1.2919310259167105,1.4518882241100073,1.6039096089079976,0.0,heond,pseudo,
11,s207,11,would,wo,ou,ul,ld,w,o,i,l,d,,0.8160343940835446,0.9679222500417382,1.0879921088926494,1.5040000630542636,1.6320136259309947,0.0,woild,highwf,
12,s207,12,think,th,hi,in,nk,t,h,n,k,,,0.8679008050821722,0.9720076690427959,1.251982914051041,1.3959251171909273,0.0,0.0,thnk,highwf,
13,s207,13,cooed,co,oo,oe,ed,c,o,o,e,d,,0.9837881929706782,1.1758759799413383,1.3198786990251392,1.4557920498773456,1.6158640088979155,0.0,cooed,lowwf,
14,s207,14,vanru,va,an,nr,ru,v,a,n,r,u,,1.107851720880717,1.2199827078729868,1.3639269049745053,1.5159730238374323,1.6919626439921558,0.0,vanru,pseudo,
15,s207,15,cheer,ch,he,ee,er,c,h,e,e,r,,0.799971756990999,0.9199727969244123,1.095890900818631,1.255980870919302,1.3678679699078202,0.0,cheer,medwf,
16,s207,16,think,th,hi,in,nk,t,h,i,n,k,,0.7318783339578658,0.8597987189423293,1.0278991188388318,1.1397928618825972,1.2838418728206307,0.0,think,highwf,
17,s207,17,therm,th,he,er,rm,t,h,e,r,m,,0.7517363640945405,0.84767428599298,0.9757034641224891,1.0877375069539994,1.2237756580580026,0.0,therm,lowwf,
