,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
0,178,0,haole,ha,ao,ol,le,h,a,o,l,e,,,0.9209377709776163,0.9850102080963552,1.3209365513175726,1.5049433130770922,1.5370159540325403,0.0,0.0,haole,lowwf,medbf
1,178,1,theme,th,he,em,me,t,h,e,m,e,,,0.7463249629363418,0.7943653529509902,0.9623293671756983,1.0343167930841446,1.1304526161402464,0.0,0.0,theme,medwf,highbf
2,178,2,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.7102804123423994,0.8703810209408402,0.9743217742070556,1.2383676953613758,1.5023632431402802,0.0,0.0,druze,lowwf,lowbf
3,178,3,vanru,va,an,nr,ru,v,a,n,r,u,,,0.81827502977103,0.8823357438668609,1.0822943788953125,1.2582465531304479,1.3703475538641214,0.0,0.0,vanru,pseudo,medbf
4,178,4,lucky,lu,uc,ck,ky,l,u,c,k,y,,,0.8141813706606627,1.3181224879808724,1.4302191380411386,1.550190765876323,1.7501907236874104,0.0,0.0,lucky,highwf,lowbf
5,178,5,cheer,ch,he,ee,er,c,h,e,e,r,,,0.7140919561497867,0.7781448201276362,0.9621543623507023,1.10616252431646,1.2260528863407671,0.0,0.0,cheer,medwf,highbf
6,178,6,tithe,ti,it,th,he,t,h,i,t,h,e,,0.7739686197601259,0.8700848980806768,1.045988842844963,1.174053966999054,1.2702438798733056,1.3500509890727699,0.0,thithe,lowwf,highbf
7,178,7,belly,be,el,ll,ly,b,e,l,l,y,,,0.8254680573008955,0.889547566883266,1.1054718452505767,1.2335164602845907,1.2975980509072542,0.0,0.0,belly,medwf,medbf
8,178,8,therm,th,he,er,rm,t,h,e,r,m,,,0.7494156686589122,0.7894606189802289,0.9493542700074613,1.0773532148450613,1.1813515648245811,0.0,0.0,therm,lowwf,highbf
9,178,9,cooed,co,oo,oe,ed,c,o,o,e,d,,,0.75346521101892,0.8813714142888784,1.0173250949010253,1.1693996540270746,1.3374422462657094,0.0,0.0,cooed,lowwf,medbf
10,178,10,haole,ha,ao,ol,le,h,a,o,l,e,,,0.7976648500189185,0.861618285998702,1.0935575254261494,1.285665494389832,1.3175524901598692,0.0,0.0,haole,lowwf,medbf
11,178,11,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.9695665389299393,1.1055551450699568,1.6335883541032672,1.8254936062730849,1.9856026293709874,0.0,0.0,faqir,lowwf,lowbf
12,178,12,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.8696629861369729,0.9735814807936549,1.173594077117741,1.2696636491455138,1.3656598501838744,0.0,0.0,vodka,medwf,lowbf
13,178,13,lucky,lu,uc,ck,ky,l,u,c,k,y,,,0.8493169234134257,1.0732802441343665,1.1613514414057136,1.2733306312002242,1.4412952973507345,0.0,0.0,lucky,highwf,lowbf
