,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
129,p10,129,heond,he,eo,on,nd,h,e,o,n,d,,,1.0810757220024243,1.153069073043298,1.3450820360449143,1.5611081279930659,1.665059460035991,0.0,0.0,heond,pseudo,highbf
130,p10,130,champ,ch,ha,am,mp,c,h,a,m,p,,,0.8451607379829511,1.021115332026966,1.133156432013493,1.2691607940359972,1.4611751409829594,0.0,0.0,champ,medwf,medbf
131,p10,131,there,th,he,er,re,t,h,e,r,e,,,0.8492584520136006,1.0732170630362816,1.265262998000253,1.3613172310288064,1.5852565290406346,0.0,0.0,there,highwf,highbf
132,p10,132,champ,ch,ha,am,mp,c,h,a,m,p,,,0.813207870000042,0.9891722940374166,1.2212336880038492,1.453248808044009,1.7571672380436212,0.0,0.0,champ,medwf,medbf
133,p10,133,edthe,ed,dt,th,he,e,d,t,h,e,,,0.9597275879932567,1.3836883339681663,1.5597601240151562,1.7356436100089923,1.8637033349950798,0.0,0.0,edthe,pseudo,highbf
134,p10,134,vanru,va,an,nr,ru,c,v,a,n,r,u,,0.8205855879932642,1.9725526599795558,2.284560011990834,2.4686194239766337,2.6045568239642307,2.7085577149991877,0.0,cvanru,pseudo,medbf
135,p10,135,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.9186404240317643,1.31865612603724,1.5506024680216797,1.7346930149942636,1.8946568390238099,0.0,0.0,faqir,lowwf,lowbf
136,p10,136,lucky,lu,uc,ck,ky,l,u,c,k,y,,,1.6446165770175867,1.9405267179827206,2.1325644070166163,2.236572558991611,2.5085216559818946,0.0,0.0,lucky,highwf,lowbf
137,p10,137,think,th,hi,in,nk,t,h,i,n,k,,,0.9123141909949481,1.0643058349960484,1.304307812009938,1.5923125519766472,1.7603135249810293,0.0,0.0,think,highwf,highbf
138,p10,138,belly,be,el,ll,ly,b,e,l,l,y,,,0.8602366710547358,1.0522694300161675,1.2762278590234928,1.4523399290046655,1.7402578570181504,0.0,0.0,belly,medwf,medbf
139,p10,139,puppy,pu,up,pp,py,p,u,p,p,y,,,1.144288097973913,1.4803144210018218,1.7283276889938861,1.944274419976864,2.104278903978411,0.0,0.0,puppy,medwf,lowbf
140,p10,140,tithe,ti,it,th,he,t,i,t,h,e,,,0.9405510979704559,1.1085528699913993,1.2366027159732766,1.3805914389668033,1.5405868560192175,0.0,0.0,tithe,lowwf,highbf
141,p10,141,theme,th,he,em,me,t,h,e,m,e,,,0.7924283680040389,1.0724200569675304,1.2484696849714965,1.424420288996771,1.5364691019640304,0.0,0.0,theme,medwf,highbf
142,p10,142,there,th,he,er,re,t,h,e,r,e,,,0.9484461580286734,1.0843835470150225,1.236418362997938,1.460383752011694,1.6043813910218887,0.0,0.0,there,highwf,highbf
143,p10,143,theme,th,he,em,me,t,h,e,m,e,,,0.8002812920021825,0.9443777339765802,1.0323222479782999,1.2323201579856686,1.3363407119759358,0.0,0.0,theme,medwf,highbf
144,p10,144,buddy,bu,ud,dd,dy,b,u,f,f,y,,,0.772361823997926,0.9723374390159734,1.0843443360063247,1.2603532550274394,1.3883392959833145,0.0,0.0,buffy,highwf,lowbf
145,p10,145,puppy,pu,up,pp,py,p,u,p,p,y,,,0.9197121320175938,1.191661414981354,1.4317214579787105,1.6157482889830135,1.7197304840083234,0.0,0.0,puppy,medwf,lowbf
146,p10,146,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.5153164630173706,1.7713129870244302,2.0113354310160503,2.3232917499844916,2.451287064002827,0.0,0.0,zibja,pseudo,lowbf
147,p10,147,haole,ha,ao,ol,le,h,a,o,l,e,,,0.9115162090165541,1.4954600630444475,1.6954575609997846,1.903516018006485,2.0234548180014826,0.0,0.0,haole,lowwf,medbf
148,p10,148,there,th,he,er,re,t,h,e,r,e,,,0.8418562990264036,0.9618824099889025,1.16984541103011,1.3058424009941518,1.4578562790411524,0.0,0.0,there,highwf,highbf
149,p10,149,haole,ha,ao,ol,le,h,a,o,l,e,,,0.9587198559893295,1.102764290990308,1.2947225020034239,1.5587457360234112,1.6627639140351675,0.0,0.0,haole,lowwf,medbf
150,p10,150,there,th,he,er,re,t,h,e,r,e,,,0.8116725200088695,0.9555734590394422,1.0756013850332238,1.227593199990224,1.4116349529940635,0.0,0.0,there,highwf,highbf
151,p10,151,vanru,va,an,nr,ru,v,a,n,r,u,,,0.9419182279962115,1.0859293010435067,1.3659131940221414,1.5659023100160994,1.7739441450103186,0.0,0.0,vanru,pseudo,medbf
152,p10,152,puppy,pu,up,pp,py,p,u,p,p,y,,,1.239639682986308,1.5356259339605458,1.8476281019975431,2.0156743559637107,2.1356152249500155,0.0,0.0,puppy,medwf,lowbf
153,p10,153,would,wo,ou,ul,ld,w,o,u,l,d,,,0.9978121719905175,1.173730559006799,1.4057301110005938,1.765731256979052,1.877740869007539,0.0,0.0,would,highwf,medbf
154,p10,154,theme,th,he,em,me,t,h,e,m,e,,,0.7872040920192376,0.9230829660082236,1.0590874910121784,1.219136112020351,1.2991262630093843,0.0,0.0,theme,medwf,highbf
155,p10,155,heond,he,eo,on,nd,h,e,o,n,d,,,1.0949189370148815,1.2228573019965552,1.4388144119875506,1.7508479470270686,1.990813787037041,0.0,0.0,heond,pseudo,highbf
156,p10,156,belly,be,el,ll,ly,b,e,l,l,y,,,0.7948691069614142,0.9148428600165062,1.1707842979812995,1.3468292269972153,1.4828257029876113,0.0,0.0,belly,medwf,medbf
157,p10,157,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.2627815050072968,1.45473136898363,1.7027807799750008,1.9827733209822327,2.0867744460119866,0.0,0.0,zibja,pseudo,lowbf
158,p10,158,theme,th,he,em,me,t,h,e,m,e,,,0.8661559830070473,1.0261122590163723,1.1541625040117651,1.3621277139754966,1.7381160960067064,0.0,0.0,theme,medwf,highbf
159,p10,159,vodka,vo,od,dk,ka,v,o,d,k,a,,,1.0208924309699796,1.2451844830065966,1.4450714719714597,1.7009354120236821,1.9809330009738915,0.0,0.0,vodka,medwf,lowbf
160,p10,160,druze,dr,ru,uz,ze,d,r,u,z,e,,,1.0763199729844928,1.276323384954594,1.4203233389998786,1.6771888780058362,1.948314038978424,0.0,0.0,druze,lowwf,lowbf
161,p10,161,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.8066078850533813,1.0626452320138924,1.1745957450475544,1.3586027760175057,1.4385965980472974,0.0,0.0,buddy,highwf,lowbf
