,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
69,s83,69,16,3, 'h' 'e',he,0.11993839405477047,edthe,edthe,0
70,s83,70,17,0,'v' 'o',vo,0.2400775016285479,vodka,vodka,1
71,s83,71,17,1, 'o' 'd',od,0.20003716507926583,vodka,vodka,1
72,s83,72,17,2, 'd' 'k',dk,0.15989795420318842,vodka,vodka,1
73,s83,73,17,3, 'k' 'a',ka,0.12008009804412723,vodka,vodka,1
74,s83,74,18,0,'c' 'h',ch,0.13595131179317832,champ,champ,0
75,s83,75,18,1, 'h' 'a',ha,0.12002175999805331,champ,champ,0
76,s83,76,18,2, 'a' 'm',am,0.4959127390757203,champ,champ,0
77,s83,77,18,3, 'm' 'p',mp,0.2159825786948204,champ,champ,0
78,s83,78,19,0,'z' 'i',zi,0.25606724014505744,zibja,zibka,0
79,s83,79,19,1, 'i' 'b',ib,0.7279373528435826,zibja,zibka,0
80,s83,80,19,2, 'b' 'k',bj,0.16811689781025052,zibja,zibka,0
81,s83,81,19,3, 'k' 'a',ja,0.7839955533854663,zibja,zibka,0
82,s83,82,20,0,'t' 'h',th,0.12000381480902433,there,there,1
83,s83,83,20,1, 'h' 'e',he,0.08799958927556872,there,there,1
84,s83,84,20,2, 'e' 'r',er,0.08800233900547028,there,there,1
85,s83,85,20,3, 'r' 'e',re,0.11995841097086668,there,there,1
86,s83,86,21,0,'b' 'e',be,0.16810512263327837,belly,belly,1
87,s83,87,21,1, 'e' 'l',el,0.29599654814228415,belly,belly,1
88,s83,88,21,2, 'l' 'l',ll,0.14390545384958386,belly,belly,1
89,s83,89,21,3, 'l' 'y',ly,0.1121148751117289,belly,belly,1
90,s83,90,22,0,'v' 'a',va,0.19194364314898849,vanru,vanru,0
91,s83,91,22,1, 'a' 'n',an,0.5359931299462914,vanru,vanru,0
92,s83,92,22,2, 'n' 'r',nr,0.1360889789648354,vanru,vanru,0
93,s83,93,22,3, 'r' 'u',ru,0.12795964209362864,vanru,vanru,0
