,sID,mean_IKI,sd_IKI,cv_IKI,wf_type
0,s009,153.66871041769622,72.54686127578243,0.4711145425705745,pseudo
1,s020,185.03550625000392,110.57822438488265,0.5961671536667829,pseudo
2,s175,211.14308721445585,105.40658213646601,0.4979435762075148,pseudo
3,s176,202.35036315984627,98.12936762663153,0.4838831699464803,pseudo
4,s178,151.60443606857424,80.96878881442557,0.5328804522952705,pseudo
5,s180,128.1489350047212,51.001440433188385,0.3970459202994876,pseudo
6,s181,125.11755711960373,67.13657333809174,0.5354499031239661,pseudo
7,s182,192.63094514986219,107.20369091443827,0.5553019358880835,pseudo
8,s183,169.07641319230143,74.27715212695894,0.4382538330429865,pseudo
9,s189,196.8973597938505,104.5506836298897,0.5298833994090653,pseudo
10,s190,176.00315945791235,83.67110223310293,0.4743871929441744,pseudo
11,s198,171.3670102792093,97.40631949552028,0.5672222306853933,pseudo
12,s207,165.19466863564128,77.55305596448912,0.46839646163938764,pseudo
13,s209,146.22322863565796,95.31525030024721,0.6503643702318844,pseudo
14,s210,189.81218235083736,123.10854434658899,0.6468063319862057,pseudo
15,s212,175.7400214285768,72.80776167243661,0.4133666422127656,pseudo
16,s217,145.47415666747835,60.63231699360889,0.4159217636810277,pseudo
17,s219,271.2627942172629,131.05496063419875,0.48200948866425725,pseudo
18,s224,157.72465927751458,73.98897831542483,0.4679892230621036,pseudo
19,s240,161.40767624407692,70.21869695820124,0.4341321115212752,pseudo
20,s254,282.2324189377804,194.37097765389947,0.687017565985636,pseudo
21,s261,143.72485134065622,79.69471601063564,0.5532559351808163,pseudo
22,s262,134.63669103138812,67.05068087859033,0.4968940754370211,pseudo
23,s263,190.2893265632883,111.13668112452262,0.5825176159616157,pseudo
24,s267,245.8321362326668,153.85617323632613,0.6243451014984631,pseudo
25,s276,177.5557227655164,65.50295090107029,0.36809050359455586,pseudo
26,s278,161.30418557846957,116.97586291880145,0.7234995703925875,pseudo
27,s279,244.8014362424146,84.1979182333056,0.3432264291031761,pseudo
28,s282,273.81909409093413,159.49394990571224,0.581153959804007,pseudo
29,s283,156.85375102638852,79.38317216349047,0.5048040266231016,pseudo
30,s286,200.55451753688155,107.19701771269928,0.5333296876873223,pseudo
31,s302,166.55405043101032,98.40136905525146,0.5895327544750457,pseudo
32,s304,136.78514009453065,59.445737529169115,0.43356587969383775,pseudo
33,s305,134.32278060294072,50.39532391351802,0.3743713150196661,pseudo
34,s306,170.22468101788905,68.52826349139619,0.4016423988399198,pseudo
35,s309,228.851040202806,157.23339629279954,0.6853271884332364,pseudo
36,s311,106.49755863632888,72.17977732106661,0.6762178068225876,pseudo
37,s313,156.91567812504962,87.64497896474789,0.5573001057847216,pseudo
38,s336,96.9539846491738,60.98420761603318,0.6276206550414076,pseudo
39,s344,267.8020925758768,166.6146905168123,0.6207961385453208,pseudo
40,s345,125.99449120305638,40.094234553237584,0.3174846437645813,pseudo
41,s347,189.06503000021485,104.25920596565989,0.5501915576165703,pseudo
42,s348,172.4296142866238,92.59345778233643,0.5358291964558152,pseudo
43,s349,154.10525235896574,102.7343783993172,0.6650765782699334,pseudo
44,s350,154.8570136730678,87.19793971170056,0.5618823311721444,pseudo
45,s351,198.2355050824511,83.17110464553737,0.41866721899250164,pseudo
46,s352,147.71545526730873,67.89244516650679,0.45860735757501864,pseudo
47,s009,146.00022500010456,76.65632433203677,0.5238478706849484,low
48,s020,174.56650816327553,108.39809970326516,0.619369783254759,low
49,s175,174.9922058875652,88.31071619231477,0.5035616282971543,low
50,s176,201.73748962159425,91.81486792238431,0.4540458376440468,low
51,s178,158.99896006332705,88.09791194555682,0.5526916096450845,low
52,s180,147.82429043302156,100.19728896077265,0.6762987586934991,low
53,s181,127.46369024690851,69.9321951860978,0.5474180277831057,low
54,s182,185.0010213001951,98.68482052625616,0.5322364969664862,low
55,s183,166.10905632408108,73.77828488618125,0.44312637326186516,low
56,s189,191.5955704980198,114.97305285744314,0.598809288741067,low
57,s190,161.12136438891477,70.77654442052948,0.4383430788295786,low
58,s198,185.02293691356962,114.49186376665193,0.6173838208459771,low
59,s207,183.5610886787521,119.41224409810509,0.6489952713008731,low
60,s209,135.14408318151249,86.2281170876932,0.6365940621655469,low
61,s210,179.54698955323894,95.53993757430764,0.530860146539285,low
62,s212,182.72743590909238,82.92002594733722,0.4527582641887048,low
63,s217,138.84713201326102,53.22567003293584,0.38249849337990227,low
64,s219,247.72069312421715,111.23136374062874,0.44803349230973155,low
65,s224,173.77151677081747,115.23327459656697,0.6615870082561149,low
