,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
191,p09,191,cheer,ch,he,ee,er,c,h,e,e,r,,,0.7555786790326238,0.8755891600158066,0.9555751060252078,1.1156176050426438,1.2835831880220212,0.0,0.0,cheer,medwf,highbf
192,p09,192,heond,he,eo,on,nd,h,o,e,o,n,d,,0.7274362819734961,0.9354786910116673,2.015425684978254,2.1114529600017704,2.2954040479962714,2.3673871040227823,0.0,hoeond,pseudo,highbf
193,p09,193,faqir,fa,aq,qi,ir,f,a,q,i,e,,,0.9387195470044389,1.0347256490495056,1.4907177209970541,1.594773326010909,1.6987622320302762,0.0,0.0,faqie,lowwf,lowbf
194,p09,194,therm,th,he,er,rm,t,h,e,r,m,,,0.7667694669798948,0.8227660899865441,0.9188150329864584,1.086812426976394,1.3188109709881246,0.0,0.0,therm,lowwf,highbf
195,p09,195,tithe,ti,it,th,he,t,i,t,h,e,,,0.9705229419632815,1.0745154090109281,1.1546456419746391,1.2745089610107243,1.3385259020142257,0.0,0.0,tithe,lowwf,highbf
196,p09,196,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.054710216994863,1.142725063022226,1.342722697998397,1.566721517010592,1.6147225929889828,0.0,0.0,zibja,pseudo,lowbf
197,p09,197,kremp,kr,re,em,mp,k,r,e,m,p,,,1.0827216749894433,1.162677625019569,1.3147484119981527,1.3948133160010912,1.5386675259796903,0.0,0.0,kremp,pseudo,medbf
198,p09,198,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.9987842789851129,1.0787492839735933,1.4948027819627896,1.6467900690040551,1.7267625239910558,0.0,0.0,vodka,medwf,lowbf
199,p09,199,haole,ha,ao,ol,le,h,a,o,l,e,,,0.6979448160273023,0.7619021339924075,0.8819579179980792,1.0499243109952658,1.178024496010039,0.0,0.0,haole,lowwf,medbf
200,p09,200,champ,ch,ha,am,mp,c,h,a,m,p,o,,0.845850404992234,0.9338559750467539,1.0458832110161893,1.16595763200894,1.3498656009905972,1.3578892819932662,0.0,champo,medwf,medbf
201,p09,201,theme,th,he,em,me,t,h,e,m,e,,,0.6978932339698076,0.7779330729972571,0.9138388970168307,1.1858934289775789,1.2578375759767368,0.0,0.0,theme,medwf,highbf
202,p09,202,therm,th,he,er,rm,t,h,e,r,m,,,0.758173618989531,0.8303230269812047,0.9982542839716189,1.2381721129640937,1.3501794319599867,0.0,0.0,therm,lowwf,highbf
203,p09,203,cheer,ch,he,ee,er,c,h,e,e,r,,,0.849747019005008,0.9538093819865026,1.0337446170160547,1.2018389650038444,1.3698481949977577,0.0,0.0,cheer,medwf,highbf
204,p09,204,belly,be,el,ll,ly,b,e,l,l,y,,,0.7417473099776544,0.8377354399999604,0.9897380759939551,1.1737395079690032,1.2698336790199392,0.0,0.0,belly,medwf,medbf
205,p09,205,haole,ha,ao,ol,le,h,a,o,l,e,,,0.7300358359934762,0.8579829129739664,1.0180317880003713,1.2259920009528287,1.2979948899592273,0.0,0.0,haole,lowwf,medbf
206,p09,206,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.7820169649785385,0.9660026599885896,1.1899514429969713,1.3499620700022206,1.4459560479735956,0.0,0.0,buddy,highwf,lowbf
207,p09,207,faqir,fa,aq,qi,ir,f,a,q,i,r,,,1.137773233000189,1.2818790189921856,1.7938399689737707,1.913796551991254,2.2178239569766447,0.0,0.0,faqir,lowwf,lowbf
208,p09,208,kremp,kr,re,em,mp,k,r,e,m,p,,,0.941975993977394,1.0380299339885823,1.1899628959945403,1.3259713599691167,1.630024723999668,0.0,0.0,kremp,pseudo,medbf
209,p09,209,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.9140559370280243,1.1220755760441534,1.4980583669967018,1.602061229001265,1.8340544490492903,0.0,0.0,druze,lowwf,lowbf
210,p09,210,about,ab,bo,ou,ut,a,b,o,u,t,,,0.7820331049733795,0.8459923199843615,1.061983119987417,1.333935604954604,1.4300320069887675,0.0,0.0,about,highwf,medbf
211,p09,211,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.3700451540062204,1.4820147680002265,1.6660042249714024,2.049960286996793,2.1539477889891714,0.0,0.0,zibja,pseudo,lowbf
212,p09,212,druze,dr,ru,uz,ze,d,r,u,z,e,,,1.1019249749951996,1.293944176984951,1.4539238129509613,1.6538875479600392,1.8859480939572677,0.0,0.0,druze,lowwf,lowbf
213,p09,213,pykka,py,yk,kk,ka,p,y,k,k,a,,,0.8977455330314115,1.2257577200070955,1.6257705260068178,1.7778307760017924,1.8737530140206218,0.0,0.0,pykka,pseudo,lowbf
214,p09,214,heond,he,eo,on,nd,h,r,o,e,o,n,d,0.7340666039963253,0.8540672209928744,0.942102751985658,2.1100867959903553,2.206072953005787,2.35806371999206,2.4460651089902967,hroeond,pseudo,highbf
215,p09,215,puppy,pu,up,pp,py,p,u,p,p,y,,,0.7532811790006235,0.9932497759582475,1.3932416239986196,1.5533131179981865,1.6252281949855387,0.0,0.0,puppy,medwf,lowbf
216,p09,216,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.8611502930289134,1.0531587890000083,1.34109228302259,1.4371478880057111,1.661194617045112,0.0,0.0,druze,lowwf,lowbf
217,p09,217,heond,he,eo,on,nd,h,e,o,n,d,,,0.872820666001644,1.0008939399849623,1.0728275990113616,1.2489362880005501,1.3048264679964632,0.0,0.0,heond,pseudo,highbf
218,p09,218,theme,th,he,em,me,t,h,e,m,e,,,0.77336358895991,0.8534719979506917,1.0293735769810155,1.3413689939770848,1.4213697519735433,0.0,0.0,theme,medwf,highbf
219,p09,219,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.7932825139723718,0.98532769898884,1.3293097449932247,1.5133829800179228,1.6012699279817753,0.0,0.0,buddy,highwf,lowbf
220,p09,220,champ,ch,ha,am,mp,c,h,a,m,p,,,0.9411796710337512,1.093169988016598,1.3411404030048288,1.4931670060032047,1.9171475120238028,0.0,0.0,champ,medwf,medbf
221,p09,221,heond,he,eo,on,nd,h,e,o,n,d,,,0.7772329000290483,0.9132467400049791,0.9932183380005881,1.16926448099548,1.2811971350456588,0.0,0.0,heond,pseudo,highbf
222,p09,222,there,th,he,er,re,t,h,e,r,e,,,0.781222420046106,0.8532870770432055,0.9572187080048025,1.1891787300119177,1.5171886950265616,0.0,0.0,there,highwf,highbf
223,p09,223,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.9850936730508693,1.089044210035354,1.3770448040449992,1.8090462390100583,1.8890587170026265,0.0,0.0,vodka,medwf,lowbf
224,p09,224,vanru,va,an,nr,ru,v,a,n,r,u,,,0.9648600000073202,1.1088101550121792,1.2368549410020933,1.3968012160039507,1.4928160540293902,0.0,0.0,vanru,pseudo,medbf
225,p09,225,think,th,hi,in,nk,t,h,i,n,k,,,0.6733197839930654,0.7533367259893566,0.9292869209893979,1.1133236829773523,1.281281249015592,0.0,0.0,think,highwf,highbf
226,p09,226,champ,ch,ha,am,mp,c,h,a,m,p,,,0.7733158290502615,0.9493632970261388,1.0534143820405006,1.2853748260531574,1.5813099350198172,0.0,0.0,champ,medwf,medbf
227,p09,227,theme,th,he,em,me,t,h,e,m,e,,,0.6251891319989227,0.6731591809657402,0.7852172589628026,0.9772054720087908,1.017168265010696,0.0,0.0,theme,medwf,highbf
228,p09,228,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.9329845479805954,1.0529564230237156,1.1249174749827944,1.3729034059797414,1.4849536779802293,0.0,0.0,vodka,medwf,lowbf
229,p09,229,edthe,ed,dt,th,he,e,f,t,h,e,,,0.8012184380204417,1.1132172620273195,1.3132620640099049,1.4011839990271255,1.4731617820216343,0.0,0.0,efthe,pseudo,highbf
230,p09,230,tithe,ti,it,th,he,t,i,t,h,e,,,0.7164624989964068,0.7884383620112203,0.8924519440042786,0.9724298110231757,1.044494465983007,0.0,0.0,tithe,lowwf,highbf
231,p09,231,there,th,he,er,re,t,h,e,r,e,,,0.6883047110168263,0.7603074599755928,0.8803257719846442,1.0723020959994756,1.2483521180110984,0.0,0.0,there,highwf,highbf
232,p09,232,vanru,va,an,nr,ru,v,a,n,r,u,,,0.7643389229779132,0.9163404619903304,1.0763532469864003,1.3083593889605254,1.4123369589797221,0.0,0.0,vanru,pseudo,medbf
233,p09,233,belly,be,el,ll,ly,b,e,l,l,y,,,0.6311706620035693,0.7191436149878427,0.9030848539550789,1.0870859369751997,1.1671412540017627,0.0,0.0,belly,medwf,medbf
234,p09,234,cheer,ch,he,ee,er,c,h,e,e,r,,,1.2038092620205134,1.2998142160358839,1.3638671380467713,1.531817225040868,1.6997539370204322,0.0,0.0,cheer,medwf,highbf
235,p09,235,think,th,hi,in,nk,h,t,i,n,k,,,0.8236379729933105,1.2637498689582571,1.4796895170002244,1.6796707100002095,1.8157004829845391,0.0,0.0,htink,highwf,highbf
236,p09,236,edthe,ed,dt,th,he,e,d,t,h,e,,,0.7870789099833928,1.003136479004752,1.3151863149832934,1.3951486559817567,1.4751147109782323,0.0,0.0,edthe,pseudo,highbf
237,p09,237,pykka,py,yk,kk,ka,p,y,k,k,a,,,0.8151490100426599,1.0871593580232002,1.375119872041978,1.5351411580340937,1.6550928060314618,0.0,0.0,pykka,pseudo,lowbf
238,p09,238,tithe,ti,it,th,he,t,i,t,h,e,,,0.6670899799792096,0.7790705710067414,0.859078434004914,1.0991176289971918,1.2111563819926232,0.0,0.0,tithe,lowwf,highbf
239,p09,239,puppy,pu,up,pp,py,p,u,p,p,y,,,0.9429510780028068,1.2069857000024058,1.5429423890309408,1.6949601260130294,1.863008729997091,0.0,0.0,puppy,medwf,lowbf
