,sID,mean_RT,sd_RT,cv_RT,wf_type
0,s009,673.8296266703401,70.6659893786504,0.10399458411626067,pseudo
1,s020,1238.0658519229587,253.40834244627598,0.20270318808516274,pseudo
2,s175,869.944189612193,98.79391816644468,0.11239872809336023,pseudo
3,s176,961.5351578890624,136.87604987701482,0.14109735756345831,pseudo
4,s178,860.4110675948588,144.41900977473787,0.16631595346825073,pseudo
5,s180,573.0621855471773,151.14043554838923,0.26124179230033096,pseudo
6,s181,886.6636307724609,145.03615161989578,0.16218301276261057,pseudo
7,s182,908.320000734213,215.25244590715354,0.2348906898947111,pseudo
8,s183,884.3236060385055,155.3621090326334,0.17398720287382147,pseudo
9,s189,837.9982864561802,173.82540309966453,0.20569346552208853,pseudo
10,s190,757.0360846486006,101.7652871920342,0.1332818685093654,pseudo
11,s198,805.4280944139464,165.3216143649306,0.2035416279964531,pseudo
12,s207,1034.822079994377,189.0923445610787,0.18106053328809987,pseudo
13,s209,894.950918187599,130.42849488871792,0.14440718424304896,pseudo
14,s210,863.9769672726592,200.37813321649588,0.22933389271526036,pseudo
15,s212,941.9011374999968,177.13566376944067,0.18637515555210535,pseudo
16,s217,758.1086033411945,147.48331619915666,0.19291315762250277,pseudo
17,s219,1245.5786890144843,180.47011421021352,0.14346106090442654,pseudo
18,s224,989.257186861673,257.7933633915347,0.25807499933723527,pseudo
19,s240,610.8298533518488,64.0462573074639,0.1039737917072336,pseudo
20,s254,1248.5427779657766,281.6816436762354,0.22334084618651154,pseudo
21,s261,805.9690178529958,117.75043962333399,0.14478765058109325,pseudo
22,s262,716.5511927272497,190.108130887338,0.2628869355301949,pseudo
23,s263,1095.70892915508,230.66090312769128,0.208308550820713,pseudo
24,s267,1323.7679470592982,310.14101088112517,0.2319782410372051,pseudo
25,s276,859.0867035839308,202.0981749640512,0.23313781697320793,pseudo
26,s278,1042.4757264290918,312.62338532134373,0.29704294858387686,pseudo
27,s279,1042.2581833632044,160.70945285871315,0.15290317004079726,pseudo
28,s282,1039.108943655579,236.819263981088,0.22582471944553267,pseudo
29,s283,842.9211877400473,132.35205825699074,0.15540547238520752,pseudo
30,s286,974.937135067752,272.9283498409324,0.2774780426053656,pseudo
31,s302,806.5748086207491,167.663034718913,0.20607063053914362,pseudo
32,s304,707.2200132067148,156.35275346723307,0.21898518213081167,pseudo
33,s305,703.8967724154896,180.6458290018506,0.25441481397452503,pseudo
34,s306,744.7119740752021,150.20740609720795,0.19982235107125257,pseudo
