,sID,mean_IKI,sd_IKI,cv_IKI,bf_type
0,s009,171.1850760163519,79.0974339662574,0.4612047072211329,low
1,s020,220.20549094830142,139.03098549175337,0.630007115483939,low
2,s175,222.2912480468731,119.26617226784853,0.5353834584780055,low
3,s176,231.40924257995718,104.00605766913378,0.44856774481541867,low
4,s178,175.7231221035009,95.45938571152634,0.5422037237286894,low
5,s180,157.63296279754667,95.67857699158776,0.6057406873250762,low
6,s181,147.7813135411336,77.01733948456176,0.5202090750361079,low
7,s182,212.21200283925452,115.7016692444183,0.5441837777540999,low
8,s183,191.17009428214257,79.10890226564084,0.4129547856276166,low
9,s189,211.05138036898137,115.11278241155028,0.5444435298736761,low
10,s190,184.47468615048663,81.49532869663227,0.440962824517774,low
11,s198,201.99025476229863,106.3690161993671,0.5256428576418465,low
12,s207,208.92910365672114,116.24252405627006,0.5552410656861123,low
13,s209,156.7858022977098,97.82072430158847,0.622716770296807,low
14,s210,210.25155134583733,133.98743245652227,0.6358220325997103,low
15,s212,194.94029806202158,85.44610059612393,0.4374690479877872,low
16,s217,158.28478545289144,57.38044787816099,0.3618542654663716,low
17,s219,288.8984591203792,133.25902331207917,0.46037115969287323,low
18,s224,163.23039195357032,83.11180307087648,0.5081885653048365,low
19,s240,174.691594520203,70.99451203682828,0.40565684789583556,low
20,s254,301.20346886555154,199.85062901203648,0.6620504047481376,low
21,s261,155.3228214555741,77.12936206566044,0.4956223569968371,low
22,s262,152.14901595330554,72.14721844455896,0.47326443058336387,low
23,s263,219.00737868978823,134.26306831992542,0.6117951705978938,low
24,s267,262.01679999989847,134.60508385870037,0.5126280384157929,low
25,s276,215.3093107398254,90.82975715439258,0.4210751386275096,low
26,s278,206.0222121745186,164.29237404324206,0.7957143354463119,low
27,s279,259.59777373656385,94.62526409697854,0.3638510457530924,low
28,s282,282.30963954383316,147.73382913181655,0.522308409618719,low
29,s283,191.01257718369143,110.18765717331719,0.5756626922750183,low
30,s286,212.59148905664912,99.00031385174863,0.4647729083811389,low
31,s302,200.50618426965,123.0566441802855,0.6125795336339901,low
32,s304,151.5385729508125,70.859236019686,0.46663949785619907,low
33,s305,151.40139442486824,66.83195405272737,0.4406010636775746,low
34,s306,185.53248339890786,89.62307742367761,0.48210307818595866,low
35,s309,268.2831353489871,173.45736717627,0.645150999570895,low
36,s311,120.70800987661367,70.57404711533759,0.583463213362635,low
37,s009,121.01528592048554,50.519586800273245,0.41685194055169894,med
38,s020,184.39840126583923,81.480118768657,0.44117026944331705,med
39,s175,191.20949977607836,100.04425488477716,0.5224149168419282,med
40,s176,201.71168063589857,80.6277729514446,0.3990829404238647,med
41,s178,143.01367479798802,78.42413161109344,0.5475440669116455,med
42,s180,138.99372274922231,52.766919016747984,0.3790613658225471,med
43,s181,113.56982262216295,37.12441022910804,0.3264135010729175,med
44,s182,169.89936302265696,71.25648324594432,0.41877385423113983,med
45,s183,158.6333079131878,64.26884954564753,0.4044890765481585,med
46,s189,173.4780058313606,73.55917817710095,0.4234073964184408,med
47,s190,159.83581590753172,53.48577658041531,0.3341427498135082,med
48,s198,146.4358414769631,62.242146380018035,0.4244307560384358,med
49,s207,170.27675634984178,67.72136814211268,0.39706524977300817,med
50,s209,134.4956229094865,50.23285936505188,0.37291205584884995,med
51,s210,183.8334942231658,87.7821975226122,0.4766737320069247,med
52,s212,166.3073105105099,51.997897848451665,0.31219171342738034,med
53,s217,141.40300946957677,43.18721371909973,0.3049672008165958,med
54,s219,241.58569722842398,92.8250611996527,0.38364626974489835,med
55,s224,141.67101316131144,73.54826664489492,0.5183514557928349,med
56,s240,162.7616272591378,71.23014684649569,0.43700005359306876,med
57,s254,237.88019966954982,153.67072048266778,0.6449229025378875,med
58,s261,138.6317345256559,61.83531251924623,0.4453758537280304,med
59,s262,137.20383923303822,46.53102947311712,0.3386373822270356,med
60,s263,186.90297340108737,106.8234344282519,0.5705818555064323,med
61,s267,198.45239184928184,99.67012233620788,0.5014491184646195,med
62,s276,163.63832521896882,55.51459648681752,0.33875399877249324,med
63,s278,174.58872880635545,132.20686109044138,0.7559926403266255,med
64,s279,245.8127496987193,68.903614966697,0.2798919238523463,med
65,s282,245.42853869887023,122.83316611286395,0.49970910124940093,med
66,s283,150.9340542702045,71.63143073974206,0.4738384489299856,med
67,s286,189.16834489246648,88.50384012452277,0.46711196901806334,med
68,s302,162.10263834807353,81.46900552172005,0.5018348672824012,med
69,s304,138.0207072099529,55.08377696636657,0.3984718822289391,med
70,s305,133.4384979403694,49.974542185349456,0.37396251354700283,med
71,s306,173.81330666795483,66.57206730627207,0.3824282805596244,med
72,s309,183.07872555161345,79.0571349115122,0.4311387922400522,med
73,s311,96.91083793096196,44.499982590062054,0.45846449789734706,med
74,s009,100.64957088855668,51.247410292328816,0.5083604223322601,high
75,s020,132.160465231748,48.10220594303919,0.36336509870008027,high
76,s175,165.15008317514685,85.90730848131298,0.5193181162198557,high
77,s176,183.60712880330476,63.45007785802739,0.3450156050092332,high
78,s178,125.90415478631903,53.85837841765358,0.42702433493572484,high
79,s180,104.4634304840789,67.18759267608543,0.6421435753771778,high
80,s181,91.45130204011373,35.994262539622355,0.39295610401993136,high
81,s182,128.97390484880566,61.31166398699283,0.47459527631190945,high
82,s183,135.61341769686152,56.309630930869595,0.4144976646167175,high
83,s189,141.27576915293514,58.5903042225603,0.4140804697090553,high
84,s190,145.05364820703954,67.63548093148025,0.4655633739108382,high
85,s198,139.23798355603986,74.15209287808412,0.531713177363398,high
86,s207,123.48856189074324,42.15005007420486,0.34077120298529967,high
87,s209,115.72371558539486,56.80033105320006,0.49002961467782313,high
88,s210,135.5338259973585,41.35083356281724,0.304574953042291,high
89,s212,154.32430996884457,51.44030592960987,0.33280640200338385,high
90,s217,112.27469632846359,35.162389673008356,0.31270254591174995,high
91,s219,207.2354340336321,79.74546094282476,0.3841928714239235,high
92,s224,139.68792364194792,89.1394198263116,0.6370958419865567,high
93,s240,124.46941598963275,51.81123861537499,0.41561589404602023,high
94,s254,231.46425000133576,144.87984744888578,0.62478428742762,high
95,s261,121.22699079262681,55.13016119715202,0.4540456137983937,high
96,s262,97.38355297805796,32.196743765307694,0.3300992627097515,high
97,s263,144.5555029605101,76.3831083727449,0.5274204398664087,high
98,s267,156.69749616667588,107.20227264021632,0.6830414564491011,high
99,s276,138.13978754476287,37.39624483197895,0.2702569315559515,high
100,s278,115.57201129053865,67.79616155148082,0.5856670989894313,high
101,s279,217.31262848091617,53.91579645306885,0.24772625616805954,high
102,s282,209.5637855144089,95.31617520531361,0.454046460474824,high
103,s283,137.3696827756808,57.106242751824375,0.41502328929712906,high
104,s286,190.6513744440761,79.85388234647831,0.418169365240624,high
105,s302,127.66839905364283,56.4741219960271,0.441651780328016,high
106,s304,115.30650851763127,31.030171112942895,0.2686855179617106,high
107,s305,110.47299969400238,33.30954914131088,0.30105616940420704,high
108,s306,137.94797602429475,47.540219890592645,0.34408026456810886,high
109,s309,162.5790940563074,75.59280461838249,0.4641922835360846,high
110,s311,86.62367961783069,41.41423842242183,0.4773318309332514,high
