,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq,bf_type,meanbf_type,wf_type
0,s198,0,0,0,'h' 'e',he,0.2639549149898812,heond,heond,0,21484684,high,high,pseudo
1,s198,1,0,1, 'e' 'o',eo,0.10400156601099297,heond,heond,0,305120,low,high,pseudo
2,s198,2,0,2, 'o' 'n',on,0.22402254299959168,heond,heond,0,8830487,high,high,pseudo
3,s198,3,0,3, 'n' 'd',nd,0.1119509789859876,heond,heond,0,9414961,high,high,pseudo
4,s198,4,1,0,'p' 'u',pu,0.2320077539770864,puppy,puppy,0,514720,low,low,med
5,s198,5,1,1, 'u' 'p',up,0.1999983150162734,puppy,puppy,0,968744,med,low,med
6,s198,6,1,2, 'p' 'p',pp,0.15203204896533862,puppy,puppy,0,805170,med,low,med
7,s198,7,1,3, 'p' 'y',py,0.20008865202544257,puppy,puppy,0,149099,low,low,med
8,s198,8,2,0,'z' 'i',zi,0.15199352300260216,zibja,zibja,0,54565,low,low,pseudo
9,s198,9,2,1, 'i' 'b',ib,0.7839817960048094,zibja,zibja,0,493267,low,low,pseudo
10,s198,10,2,2, 'b' 'j',bj,0.47998101101256907,zibja,zibja,0,105433,low,low,pseudo
11,s198,11,2,3, 'j' 'a',ja,0.13604584598215297,zibja,zibja,0,40073,low,low,pseudo
12,s198,12,3,0,'a' 'b',ab,0.1119160380330868,about,about,0,1203849,med,med,high
13,s198,13,3,1, 'b' 'o',bo,0.20812841498991475,about,about,0,1140702,med,med,high
14,s198,14,3,2, 'o' 'u',ou,0.07994175498606637,about,about,0,7425307,high,med,high
15,s198,15,3,3, 'u' 't',ut,0.10390047903638333,about,about,0,3257233,med,med,high
16,s198,16,4,0,'t' 'i',ti,0.11206810199655592,tithe,tithe,0,5135552,high,high,low
17,s198,17,4,1, 'i' 't',it,0.17599709500791505,tithe,tithe,0,6637233,high,high,low
18,s198,18,4,2, 't' 'h',th,0.29588812799192965,tithe,tithe,0,22288309,high,high,low
19,s198,19,4,3, 'h' 'e',he,0.6080003980314359,tithe,tithe,0,21484684,high,high,low
20,s198,20,5,0,'d' 'r',dr,0.22418626595754176,druze,druze,0,567936,med,low,low
21,s198,21,5,1, 'r' 'u',ru,0.08790751703782007,druze,druze,0,705492,med,low,low
22,s198,22,5,2, 'u' 'z',uz,0.40799706598045304,druze,druze,0,19836,low,low,low
23,s198,23,5,3, 'z' 'e',ze,0.24802282499149442,druze,druze,0,210896,low,low,low
24,s198,24,6,0,'c' 'o',co,0.1680887960246764,cooed,cooed,0,3609272,med,med,low
25,s198,25,6,1, 'o' 'o',oo,0.1839406059589237,cooed,cooed,0,1933683,med,med,low
26,s198,26,6,2, 'o' 'e',oe,0.11197787703713402,cooed,cooed,0,270012,low,med,low
27,s198,27,6,3, 'e' 'd',ed,0.20003964100033045,cooed,cooed,0,7805967,high,med,low
