,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq,bf_type,meanbf_type,wf_type
0,s182,0,0,0,'t' 'h',th,0.17593855498125777,therm,therm,0,22288309,high,high,low
1,s182,1,0,1, 'h' 'e',he,0.10408448800444603,therm,therm,0,21484684,high,high,low
2,s182,2,0,2, 'e' 'r',er,0.08800205000443384,therm,therm,0,12934901,high,high,low
3,s182,3,0,3, 'r' 'm',rm,0.15203144500264898,therm,therm,0,905131,high,high,low
4,s182,4,1,0,'f' 'a',fa,0.17600337998010218,faqir,faquir,0,1043958,low,low,low
5,s182,5,1,1, 'a' 'q',aq,0.4559529370162636,faqir,faquir,0,4924,low,low,low
6,s182,6,1,2, 'q' 'u',qi,0.16805480798939243,faqir,faquir,0,36,low,low,low
7,s182,7,1,3, 'u' 'i',ir,0.06406532897381112,faqir,faquir,0,2142678,low,low,low
8,s182,8,1,4, 'i' 'r',,0.2239298300119117,faqir,faquir,0,,,low,low
9,s182,9,2,0,'z' 'i',zi,0.3518576169735752,zibja,zibja,0,54565,low,low,pseudo
10,s182,10,2,1, 'i' 'b',ib,0.6721262810169719,zibja,zibja,0,493267,low,low,pseudo
11,s182,11,2,2, 'b' 'j',bj,0.29603069298900664,zibja,zibja,0,105433,low,low,pseudo
12,s182,12,2,3, 'j' 'a',ja,0.10400909098098055,zibja,zibja,0,40073,low,low,pseudo
13,s182,13,3,0,'t' 'h',th,0.11189403699245304,theme,theme,0,22288309,high,high,med
14,s182,14,3,1, 'h' 'e',he,0.14408114802790806,theme,theme,0,21484684,high,high,med
15,s182,15,3,2, 'e' 'm',em,0.17597835697233677,theme,theme,0,2039661,med,high,med
16,s182,16,3,3, 'm' 'e',me,0.06402442103717476,theme,theme,0,4724108,high,high,med
17,s182,17,4,0,'t' 'h',th,0.1359521269914694,therm,therm,1,22288309,high,high,low
18,s182,18,4,1, 'h' 'e',he,0.07999947800999507,therm,therm,1,21484684,high,high,low
19,s182,19,4,2, 'e' 'r',er,0.07998750900151208,therm,therm,1,12934901,high,high,low
20,s182,20,4,3, 'r' 'm',rm,0.13598887401167303,therm,therm,1,905131,high,high,low
21,s182,21,5,0,'t' 'h',th,0.10411088704131544,theme,theme,1,22288309,high,high,med
22,s182,22,5,1, 'h' 'e',he,0.10390947299310938,theme,theme,1,21484684,high,high,med
23,s182,23,5,2, 'e' 'm',em,0.1440958509920165,theme,theme,1,2039661,med,high,med
24,s182,24,5,3, 'm' 'e',me,0.10400398797355592,theme,theme,1,4724108,high,high,med
25,s182,25,6,0,'z' 'i',zi,0.23196801700396463,zibja,zibja,1,54565,low,low,pseudo
26,s182,26,6,1, 'i' 'b',ib,0.6640806350042112,zibja,zibja,1,493267,low,low,pseudo
27,s182,27,6,2, 'b' 'j',bj,0.20803864899789914,zibja,zibja,1,105433,low,low,pseudo
28,s182,28,6,3, 'j' 'a',ja,0.12793594400864094,zibja,zibja,1,40073,low,low,pseudo
29,s182,29,7,0,'c' 'h',ch,0.07999483199091628,cheer,cheer,0,3267507,med,high,med
30,s182,30,7,1, 'h' 'e',he,0.17586867400677875,cheer,cheer,0,21484684,high,high,med
31,s182,31,7,2, 'e' 'e',ee,0.14413477201014757,cheer,cheer,0,2839722,high,high,med
32,s182,32,7,3, 'e' 'r',er,0.08795976598048583,cheer,cheer,0,12934901,high,high,med
33,s182,33,8,0,'z' 'i',zi,0.23199684295104817,zibja,zibja,2,54565,low,low,pseudo
34,s182,34,8,1, 'i' 'b',ib,0.23211216903291643,zibja,zibja,2,493267,low,low,pseudo
35,s182,35,8,2, 'b' 'j',bj,0.22399298701202497,zibja,zibja,2,105433,low,low,pseudo
36,s182,36,8,3, 'j' 'a',ja,0.11989246297162026,zibja,zibja,2,40073,low,low,pseudo
37,s182,37,9,0,'b' 'u',bu,0.27195665903855115,buddy,buddy,0,1183063,low,low,high
38,s182,38,9,1, 'u' 'd',ud,0.24007288698339835,buddy,buddy,0,458716,low,low,high
39,s182,39,9,2, 'd' 'd',dd,0.17592593299923465,buddy,buddy,0,306083,low,low,high
40,s182,40,9,3, 'd' 'y',dy,0.31200332700973377,buddy,buddy,0,360103,low,low,high
41,s182,41,10,0,'c' 'h',ch,0.09597646998008713,cheer,cheer,1,3267507,med,high,med
42,s182,42,10,1, 'h' 'e',he,0.16788516100496054,cheer,cheer,1,21484684,high,high,med
43,s182,43,10,2, 'e' 'e',ee,0.16010543302400038,cheer,cheer,1,2839722,high,high,med
44,s182,44,10,3, 'e' 'r',er,0.06399149401113391,cheer,cheer,1,12934901,high,high,med
45,s182,45,11,0,'t' 'h',th,0.08793659199727699,theme,theme,2,22288309,high,high,med
46,s182,46,11,1, 'h' 'e',he,0.1281151119619608,theme,theme,2,21484684,high,high,med
47,s182,47,11,2, 'e' 'm',em,0.1038857820094563,theme,theme,2,2039661,med,high,med
48,s182,48,11,3, 'm' 'e',me,0.10405377100687474,theme,theme,2,4724108,high,high,med
49,s182,49,12,0,'e' 'd',ed,0.16808054299326614,edthe,edthe,0,7805967,med,high,pseudo
50,s182,50,12,1, 'd' 't',dt,0.21602256799815223,edthe,edthe,0,11191,high,high,pseudo
51,s182,51,12,2, 't' 'h',th,0.09597563900751993,edthe,edthe,0,22288309,high,high,pseudo
