,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
74,s209,74,18,0,'b' 'u',bu,0.1361297038383782,buddy,buddy,1,1183063
75,s209,75,18,1, 'u' 'd',ud,0.13601373718120158,buddy,buddy,1,458716
76,s209,76,18,2, 'd' 'd',dd,0.13600060087628663,buddy,buddy,1,306083
77,s209,77,18,3, 'd' 'y',dy,0.0719735270831734,buddy,buddy,1,360103
78,s209,78,19,0,'v' 'o',vo,0.08791104890406132,vodka,vodka,1,368238
79,s209,79,19,1, 'o' 'd',od,0.1279722680337727,vodka,vodka,1,1013147
80,s209,80,19,2, 'd' 'k',dk,0.14414974907413125,vodka,vodka,1,5347
81,s209,81,19,3, 'k' 'a',ka,0.09597800485789776,vodka,vodka,1,60568
82,s209,82,20,0,'c' 'h',ch,0.1280613960698247,cheer,cheer,0,3267507
83,s209,83,20,1, 'h' 'e',he,0.11992588103748858,cheer,cheer,0,21484684
84,s209,84,20,2, 'e' 'e',ee,0.16009320388548076,cheer,cheer,0,2839722
85,s209,85,20,3, 'e' 'r',er,0.10393683100119233,cheer,cheer,0,12934901
86,s209,86,21,0,'a' 'b',ab,0.08791560190729797,about,about,0,1203849
87,s209,87,21,1, 'b' 'o',bo,0.1761732951272279,about,about,0,1140702
88,s209,88,21,2, 'o' 'u',ou,0.15187597391195595,about,about,0,7425307
89,s209,89,21,3, 'u' 't',ut,0.10409651207737625,about,about,0,3257233
90,s209,90,22,0,'h' 'a',ha,0.09606186882592738,haole,haolespace,0,6967591
91,s209,91,22,1, 'a' 'o',ao,0.09597497107461095,haole,haolespace,0,25487
92,s209,92,22,2, 'o' 'l',ol,0.2081491679418832,haole,haolespace,0,1804856
93,s209,93,22,3, 'l' 'e',le,0.09590924414806068,haole,haolespace,0,5038239
94,s209,94,22,4, 'e' 'space',,0.20015705795958638,haole,haolespace,0,
95,s209,95,23,0,'t' 'h',th,0.08789641293697059,theme,theme,1,22288309
96,s209,96,23,1, 'h' 'e',he,0.12011662498116493,theme,theme,1,21484684
97,s209,97,23,2, 'e' 'm',em,0.11200865800492465,theme,theme,1,2039661
98,s209,98,23,3, 'm' 'e',me,0.1119528419803828,theme,theme,1,4724108
99,s209,99,24,0,'p' 'y',py,0.20792942005209625,pykka,pykka,0,149099
100,s209,100,24,1, 'y' 'k',yk,0.37600695504806936,pykka,pykka,0,4767
101,s209,101,24,2, 'k' 'k',kk,0.12012283899821341,pykka,pykka,0,1820
102,s209,102,24,3, 'k' 'a',ka,0.15192300803028047,pykka,pykka,0,60568
103,s209,103,25,0,'t' 'h',th,0.07205712306313217,think,thinspacek,3,22288309
104,s209,104,25,1, 'h' 'i',hi,0.10396737582050264,think,thinspacek,3,6198006
105,s209,105,25,2, 'i' 'n',in,0.1681044960860163,think,thinspacek,3,13597302
106,s209,106,25,3, 'n' 'space',nk,0.007878066040575504,think,thinspacek,3,445067
107,s209,107,25,4, 'space' 'k',,0.16811044793576002,think,thinspacek,3,
108,s209,108,26,0,'l' 'u',lu,0.1681824759580195,lucky,lucky,0,568081
109,s209,109,26,1, 'u' 'c',uc,0.37592682195827365,lucky,lucky,0,891233
110,s209,110,26,2, 'c' 'k',ck,0.095965342130512,lucky,lucky,0,925655
111,s209,111,26,3, 'k' 'y',ky,0.1279641748405993,lucky,lucky,0,49764
112,s209,112,27,0,'b' 'e',be,0.21589794592000544,belly,belly,1,3798740
113,s209,113,27,1, 'e' 'l',el,0.06398641807027161,belly,belly,1,3235254
114,s209,114,27,2, 'l' 'l',ll,0.20803728001192212,belly,belly,1,4235407
115,s209,115,27,3, 'l' 'y',ly,0.21601165202446282,belly,belly,1,2589130
116,s209,116,28,0,'e' 'd',ed,0.11200954602099955,edthe,edthe,1,7805967
117,s209,117,28,1, 'd' 't',dt,0.10398006695322692,edthe,edthe,1,11191
118,s209,118,28,2, 't' 'h',th,0.18400477315299213,edthe,edthe,1,22288309
119,s209,119,28,3, 'h' 'e',he,0.08812757791019976,edthe,edthe,1,21484684
120,s209,120,29,0,'k' 'r',kr,0.12802279903553426,kremp,kremp,0,5683
121,s209,121,29,1, 'r' 'e',re,0.10400787298567593,kremp,kremp,0,10687711
122,s209,122,29,2, 'e' 'm',em,0.15195059007965028,kremp,kremp,0,2039661
123,s209,123,29,3, 'm' 'p',mp,0.16806663991883397,kremp,kremp,0,1042198
124,s209,124,30,0,'f' 'a',fa,0.12801992590539157,faqir,faqir,2,1043958
125,s209,125,30,1, 'a' 'q',aq,0.24806307209655643,faqir,faqir,2,4924
126,s209,126,30,2, 'q' 'i',qi,0.24011403787881136,faqir,faqir,2,36
127,s209,127,30,3, 'i' 'r',ir,0.13580224406905472,faqir,faqir,2,2142678
128,s209,128,31,0,'t' 'h',th,0.05602665594778955,there,there,1,22288309
129,s209,129,31,1, 'h' 'e',he,0.1360161320772022,there,there,1,21484684
130,s209,130,31,2, 'e' 'r',er,0.07993402401916683,there,there,1,12934901
131,s209,131,31,3, 'r' 'e',re,0.13624014193192124,there,there,1,10687711
132,s209,132,32,0,'b' 'e',be,0.09600022109225392,belly,belly,2,3798740
133,s209,133,32,1, 'e' 'l',el,0.10406852001324296,belly,belly,2,3235254
134,s209,134,32,2, 'l' 'l',ll,0.15204592002555728,belly,belly,2,4235407
135,s209,135,32,3, 'l' 'y',ly,0.16788832400925457,belly,belly,2,2589130
136,s209,136,33,0,'t' 'i',ti,0.09589596092700958,tithe,tithe,0,5135552
137,s209,137,33,1, 'i' 't',it,0.2081206350121647,tithe,tithe,0,6637233
138,s209,138,33,2, 't' 'h',th,0.07990737515501678,tithe,tithe,0,22288309
139,s209,139,33,3, 'h' 'e',he,0.11203018599189818,tithe,tithe,0,21484684
140,s209,140,34,0,'v' 'a',va,0.06405259598977864,vanru,vanru,1,560130
141,s209,141,34,1, 'a' 'n',an,0.15990626998245716,vanru,vanru,1,12315713
142,s209,142,34,2, 'n' 'r',nr,0.12005367409437895,vanru,vanru,1,54341
143,s209,143,34,3, 'r' 'u',ru,0.08788778493180871,vanru,vanru,1,705492
144,s209,144,35,0,'b' 'u',bu,0.12009147391654551,buddy,buddy,2,1183063
145,s209,145,35,1, 'u' 'd',ud,0.1439184199552983,buddy,buddy,2,458716
146,s209,146,35,2, 'd' 'd',dd,0.1440728169400245,buddy,buddy,2,306083
147,s209,147,35,3, 'd' 'y',dy,0.07201757002621889,buddy,buddy,2,360103
148,s209,148,36,0,'l' 'u',lu,0.17596990708261728,lucky,lucky,1,568081
149,s209,149,36,1, 'u' 'c',uc,0.13593253609724343,lucky,lucky,1,891233
150,s209,150,36,2, 'c' 'k',ck,0.09597429679706693,lucky,lucky,1,925655
151,s209,151,36,3, 'k' 'y',ky,0.16012161201797426,lucky,lucky,1,49764
152,s209,152,37,0,'h' 'e',he,0.1199663458392024,heond,heond,1,21484684
153,s209,153,37,1, 'e' 'o',eo,0.06397291412577033,heond,heond,1,305120
154,s209,154,37,2, 'o' 'n',on,0.1761173598933965,heond,heond,1,8830487
155,s209,155,37,3, 'n' 'd',nd,0.08793736691586673,heond,heond,1,9414961
156,s209,156,38,0,'c' 'h',ch,0.05594040406867862,champ,champ,0,3267507
157,s209,157,38,1, 'h' 'a',ha,0.07193457591347396,champ,champ,0,6967591
158,s209,158,38,2, 'a' 'm',am,0.16817546915262938,champ,champ,0,1610395
159,s209,159,38,3, 'm' 'p',mp,0.15980417095124722,champ,champ,0,1042198
160,s209,160,39,0,'w' 'o',wo,0.0720634669996798,would,would,0,1723496
161,s209,161,39,1, 'o' 'u',ou,0.1200427571311593,would,would,0,7425307
162,s209,162,39,2, 'u' 'l',ul,0.17604384990409017,would,would,0,2181271
163,s209,163,39,3, 'l' 'd',ld,0.07194879394955933,would,would,0,2012500
164,s209,164,40,0,'t' 'h',th,0.08002651599235833,there,there,2,22288309
165,s209,165,40,1, 'h' 'e',he,0.11197136202827096,there,there,2,21484684
166,s209,166,40,2, 'e' 'r',er,0.0640124399214983,there,there,2,12934901
167,s209,167,40,3, 'r' 'e',re,0.13600022508762777,there,there,2,10687711
168,s209,168,41,0,'p' 'u',pu,0.1599981968756765,puppy,puppy,1,514720
169,s209,169,41,1, 'u' 'p',up,0.15194116393104196,puppy,puppy,1,968744
170,s209,170,41,2, 'p' 'p',pp,0.1280793291516602,puppy,puppy,1,805170
171,s209,171,41,3, 'p' 'y',py,0.1919858220499009,puppy,puppy,1,149099
172,s209,172,42,0,'v' 'a',va,0.1118379170075059,vanru,vanru,2,560130
173,s209,173,42,1, 'a' 'n',an,0.12805194617249072,vanru,vanru,2,12315713
174,s209,174,42,2, 'n' 'r',nr,0.12801952194422483,vanru,vanru,2,54341
175,s209,175,42,3, 'r' 'u',ru,0.08003775496035814,vanru,vanru,2,705492
176,s209,176,43,0,'b' 'o',vo,0.07995093101635575,vodka,bodka,2,368238
177,s209,177,43,1, 'o' 'd',od,1.0322066450025886,vodka,bodka,2,1013147
178,s209,178,43,2, 'd' 'k',dk,0.19176621385850012,vodka,bodka,2,5347
179,s209,179,43,3, 'k' 'a',ka,0.08807217609137297,vodka,bodka,2,60568
180,s209,180,44,0,'h' 'e',he,0.11983418092131615,heond,heond,2,21484684
181,s209,181,44,1, 'e' 'o',eo,0.056091946084052324,heond,heond,2,305120
182,s209,182,44,2, 'o' 'n',on,0.16799966804683208,heond,heond,2,8830487
183,s209,183,44,3, 'n' 'd',nd,0.103891875827685,heond,heond,2,9414961
184,s209,184,45,0,'t' 'h',th,0.09600962302647531,think,think,4,22288309
185,s209,185,45,1, 'h' 'i',hi,0.11993642104789615,think,think,4,6198006
186,s209,186,45,2, 'i' 'n',in,0.16807964583858848,think,think,4,13597302
187,s209,187,45,3, 'n' 'k',nk,0.1599620571359992,think,think,4,445067
188,s209,188,46,0,'p' 'u',pu,0.15200406895019114,puppy,puppy,2,514720
189,s209,189,46,1, 'u' 'p',up,0.17611158499494195,puppy,puppy,2,968744
190,s209,190,46,2, 'p' 'p',pp,0.13600660185329616,puppy,puppy,2,805170
191,s209,191,46,3, 'p' 'y',py,0.22392312320880592,puppy,puppy,2,149099
192,s209,192,47,0,'c' 'h',ch,0.0638714071828872,champ,champ,1,3267507
193,s209,193,47,1, 'h' 'a',ha,0.1280255049932748,champ,champ,1,6967591
194,s209,194,47,2, 'a' 'm',am,0.10407983302138746,champ,champ,1,1610395
195,s209,195,47,3, 'm' 'p',mp,0.16789514385163784,champ,champ,1,1042198
196,s209,196,48,0,'b' 'e',be,0.13619801006279886,belly,belly,3,3798740
197,s209,197,48,1, 'e' 'l',el,0.09584136493504047,belly,belly,3,3235254
198,s209,198,48,2, 'l' 'l',ll,0.12008988508023322,belly,belly,3,4235407
199,s209,199,48,3, 'l' 'y',ly,0.18395151407457888,belly,belly,3,2589130
200,s209,200,49,0,'h' 'a',ha,0.1199741039890796,haole,haole,1,6967591
201,s209,201,49,1, 'a' 'o',ao,0.11202399316243827,haole,haole,1,25487
202,s209,202,49,2, 'o' 'l',ol,0.2161013309378177,haole,haole,1,1804856
203,s209,203,49,3, 'l' 'e',le,0.10391361801885068,haole,haole,1,5038239
204,s209,204,50,0,'v' 'a',va,0.08788176300004125,vanru,vanru,3,560130
205,s209,205,50,1, 'a' 'n',an,0.16010964196175337,vanru,vanru,3,12315713
206,s209,206,50,2, 'n' 'r',nr,0.103867223020643,vanru,vanru,3,54341
207,s209,207,50,3, 'r' 'u',ru,0.08012957102619112,vanru,vanru,3,705492
208,s209,208,51,0,'e' 'd',ed,0.11998747498728335,edthe,edthe,2,7805967
209,s209,209,51,1, 'd' 't',dt,0.13601184007711709,edthe,edthe,2,11191
210,s209,210,51,2, 't' 'h',th,0.19198075705207884,edthe,edthe,2,22288309
211,s209,211,51,3, 'h' 'e',he,0.09592193993739784,edthe,edthe,2,21484684
212,s209,212,52,0,'k' 'r',kr,0.06394938798621297,kremp,kremp,1,5683
213,s209,213,52,1, 'r' 'e',re,0.07200174010358751,kremp,kremp,1,10687711
214,s209,214,52,2, 'e' 'm',em,0.11992540885694325,kremp,kremp,1,2039661
215,s209,215,52,3, 'm' 'p',mp,0.16810663393698633,kremp,kremp,1,1042198
216,s209,216,53,0,'b' 'u',bu,0.1199584580026567,buddy,buddy,3,1183063
217,s209,217,53,1, 'u' 'd',ud,0.127931420924142,buddy,buddy,3,458716
218,s209,218,53,2, 'd' 'd',dd,0.16001135599799454,buddy,buddy,3,306083
219,s209,219,53,3, 'd' 'y',dy,0.08808016497641802,buddy,buddy,3,360103
220,s209,220,54,0,'c' 'o',co,0.11992542003281415,cooed,cooed,0,3609272
221,s209,221,54,1, 'o' 'o',oo,0.1520965399686247,cooed,cooed,0,1933683
222,s209,222,54,2, 'o' 'e',oe,0.12789390119723976,cooed,cooed,0,270012
223,s209,223,54,3, 'e' 'd',ed,0.12000461900606751,cooed,cooed,0,7805967
224,s209,224,55,0,'h' 'a',ha,0.39998114900663495,haole,haole,2,6967591
225,s209,225,55,1, 'a' 'o',ao,0.12015542690642178,haole,haole,2,25487
226,s209,226,55,2, 'o' 'l',ol,0.19998483010567725,haole,haole,2,1804856
227,s209,227,55,3, 'l' 'e',le,0.1279793158173561,haole,haole,2,5038239
228,s209,228,56,0,'d' 'r',dr,0.16005019005388021,druze,druze,2,
229,s209,229,56,1, 'r' 'u',ru,0.05605115997605026,druze,druze,2,705492
230,s209,230,56,2, 'u' 'z',uz,0.22405653400346637,druze,druze,2,
231,s209,231,56,3, 'z' 'e',ze,0.19992793002165854,druze,druze,2,
232,s209,232,57,0,'b' 'e',be,0.11187505489215255,belly,belly,4,3798740
233,s209,233,57,1, 'e' 'l',el,0.11207700613886118,belly,belly,4,3235254
234,s209,234,57,2, 'l' 'l',ll,0.13602645695209503,belly,belly,4,4235407
235,s209,235,57,3, 'l' 'y',ly,0.18400446395389736,belly,belly,4,2589130
236,s209,236,58,0,'t' 'h',th,0.07198512018658221,therm,therm,0,22288309
237,s209,237,58,1, 'h' 'e',he,0.1200479599647224,therm,therm,0,21484684
238,s209,238,58,2, 'e' 'r',er,0.11204987997189164,therm,therm,0,12934901
239,s209,239,58,3, 'r' 'm',rm,0.11996544199064374,therm,therm,0,905131
240,s209,240,59,0,'l' 'u',lu,0.29612716916017234,lucky,lucky,2,568081
241,s209,241,59,1, 'u' 'c',uc,0.2160130520351231,lucky,lucky,2,891233
242,s209,242,59,2, 'c' 'k',ck,0.06399074592627585,lucky,lucky,2,925655
243,s209,243,59,3, 'k' 'y',ky,0.15198146388866007,lucky,lucky,2,49764
244,s209,244,60,0,'f' 'a',fa,0.16010561492294073,faqir,fair,3,1043958
245,s209,245,60,1, 'a' 'i',aq,0.6799930150154978,faqir,fair,3,4924
246,s209,246,60,2, 'i' 'r',qi,0.09595535811968148,faqir,fair,3,36
247,s209,247,61,0,'t' 'h',th,0.08803717303089797,therm,therm,1,22288309
248,s209,248,61,1, 'h' 'e',he,0.10387639701366425,therm,therm,1,21484684
249,s209,249,61,2, 'e' 'r',er,0.04010299197398126,therm,therm,1,12934901
250,s209,250,61,3, 'r' 'm',rm,0.12794419983401895,therm,therm,1,905131
