,keyDataConverted
15,"['LeftShift', 'S', 'e', 'e', ' ', 'w', 'h', 'a', 't', ' ', 'c', 'o', 'n', 'c', 'e', 'r', 't', 's', ' ', 'w', 'e', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'r', ' ', 'y', 'o', 'u', ' ', 'i', 'n', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 't', 'y', '.', 'Return']"
16,"['LeftShift', 'S', 'Backspace', 'LeftShift', 'J', 'u', 's', 't', ' ', 't', 'o', 'l', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'LeftShift', 'I', ' ', 'h', 't', 'o', 'u', 'g', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 't', 'h', 'o', 'u', 'g', 'h', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '.', 'Return']"
0,"['CapsLock', 'L', 'CapsLock', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 's', 'o', 'm', 'e', ' ', 'g', 'i', 'f', 't', 's', ' ', 'h', 'i', 'n', 't', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'o', 'u', '.', 'Return']"
1,"['CapsLock', 'i', 'CapsLock', ' ', 'C', 'A', 'N', 'T', 'Backspace', 'I', ' ', 'CapsLock', 'c', 'a', 'n', ""'"", 't', ' ', 't', 'e', 'l', 'l', ' ', 'y', 'o', 'u', ' ', 'w', 'h', 'e', 'n', ' ', 't', 'h', 'e', 'y', ""'"", 'l', 'l', ' ', 'b', 'e', ' ', 'b', 'a', 'c', 'k', '.', 'Return']"
2,"['CapsLock', 'I', 'CapsLock', ' ', 't', 'h', 'i', 'n', 'k', ' ', 't', 'h', 'a', 't', ' ', 'w', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'e', 'm', 'Backspace', 'n', 'f', 'o', 'r', 'v', 'Backspace', 'c', 'e', ' ', 't', 'h', 'e', ' ', 'g', 'v', 'o', 'v', 'e', 'r', 'n', 'm', 'e', 'n', 't', '.', 'Return']"
3,"['CapsLock', 'S', 'CapsLock', 'e', 'e', ' ', 'w', 'h', 'a', 't', ' ', 'c', 'o', 'n', 'c', 'e', 'r', 't', 's', ' ', 'w', 'e', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'r', ' ', 'y', 'o', 'u', ' ', 'i', 'n', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 't', 'y', '.', 'Return']"
4,"['CapsLock', 'S', 'CapsLock', 'h', 'e', ' ', 's', 't', 'a', 'r', 't', 'e', 'd', ' ', 's', 'i', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'l', 'o', 'n', 'g', ' ', 's', 'o', 'f', 't', 'l', 'y', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'r', 'a', 'd', 'i', 'o', '.', 'Return']"
5,"['CapsLock', 'J', 'CapsLock', 'u', 's', 't', ' ', 't', 'o', 'l', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'CapsLock', 'I', 'CapsLock', ' ', 't', 'h', 'o', 'u', 'g', 'h', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 'i', 'b', 'l', 'e', '.', 'Return']"
6,"['CapsLock', 'S', 'CapsLock', 'u', 'n', 'd', 'a', 'y', ' ', 't', 'i', 'c', 'k', 'e', 't', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'o', 'n', ' ', 's', 'a', 'l', 'e', ' ', 'f', 'o', 'r', ' ', 'w', 'e', 'e', 'k', 's', '.', 'Return']"
7,"['CapsLock', 'W', 'CapsLock', 'e', ' ', 't', 'a', 'l', 'o', 'k', 'e', 'd', ' ', 'q', 'u', 'i', 'e', 't', 'l', 'y', ' ', 'w', 'h', 'i', 'l', 'e', ' ', 'e', 'v', 'e', 'r', 'y', 'b', 'o', 'd', 'y', ' ', 'g', 'a', 't', 'h', 'e', 'r', 'e', 'd', '.', 'Return']"
8,"['CapsLock', 'I', ' ', 'CapsLock', 'a', 'm', ' ', 's', 'n', 'o', 'w', 'e', 'd', ' ', 'u', 'n', 'd', 'e', 'r', ' ', 'z', 'n', 'Backspace', 'Backspace', 'a', 'n', 'd', ' ', 'o', 'u', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'o', 'f', 'f', 'i', 'c', 'e', '.', 'Return']"
9,"['CapsLock', 'A', 'CapsLock', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', 'Return']"
10,"['CapsLock', 'S', 'CapsLock', 'h', 'o', 'u', 'l', 'd', ' ', 'w', 'e', ' ', 'e', 'm', 'a', 'i', 'l', ' ', 't', 'h', 'i', 's', ' ', 't', 'o', ' ', 'y', 'o', 'u', ' ', 'o', 'r', ' ', 'f', 'a', 'x', ' ', 't', 'o', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'o', 'u', 's', 'e', '.', 'Return']"
11,"['Tab', 'CapsLock', 'CapsLock', 'd', 'CapsLock', 'O', ' ', 'Y', 'O', 'U', ' ', 'W', 'A', 'N', 'T', ' ', 'T', 'O', ' ', 'E', 'A', 'T', ' ', 'L', 'U', 'N', 'C', 'H', ' ', 'S', 'O', 'M', 'E', 'H', 'W', 'E', 'R', 'E', ' ', 'B', 'E', 'F', 'O', 'I', 'R', 'E', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'W', 'H', 'E', 'R', 'E', ' ', 'B', 'E', 'F', 'O', 'R', 'E', '.', 'Return']"
12,"['L', 'CapsLock', 'e', 't', ' ', 'm', 'e', ' ', 'k', 'n', 'o', 'w', ' ', 'i', 'f', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', 'm', 'Backspace', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'i', 's', '.', 'Return']"
13,"['CapsLock', 'O', 'CapsLock', 'u', 'r', ' ', 'f', 'o', 'r', 'c', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'r', 'e', 'a', 'd', 'y', ' ', 't', 'o', 'p', 'Backspace', ' ', 'c', 'o', 'm', 'e', ' ', 'i', 'm', 'm', 'e', 'd', 'i', 'a', 't', 'e', 'l', 'k', 'y', '.', 'Return']"
14,"['CapsLock', 'W', 'CapsLock', 'h', 'e', 'n', ' ', 'i', 't', ' ', 'i', 's', ' ', 'u', 's', 'e', 'd', ' ', 'w', 'e', ' ', 't', 'r', 'y', ' ', 'a', 'n', 'd', ' ', 'd', 'o', ' ', 'm', 'a', 'n', 'y', ' ', 'p', 'a', 't', 'h', 's', ' ', 'a', 's', ' ', 'p', 'o', 's', 's', 'i', 'b', 'e', 'l', '.', 'Return']"
15,"['CapsLock', 'I', 'CapsLock', ' ', 'w', 'i', 'l', 'l', ' ', 'n', 'e', 'e', 'd', ' ', 't', 'o', ' ', 'h', 'a', 'v', 'e', ' ', 'n', 'y', ' ', '=', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'm', 'y', ' ', 'm', 'e', 'm', 'o', 'r', 'y', ' ', 'r', 'e', 'f', 'r', 'e', 's', 'h', 'e', 'd', '.', 'Return']"
16,"['CapsLock', 'I', 'CapsLock', 't', ' ', 'm', 'u', 's', 'r', ' ', 'Backspace', 'Backspace', 't', ' ', 'b', 'e', ' ', 'a', 'c', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 'd', ' ', 'b', 'y', ' ', 'i', 'n', 'c', 'r', 'e', 'a', 's', 'e', 'd', ' ', 'p', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'v', 't', 'y', '.', 'Return']"
0,"['LeftShift', 'L', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 's', 'o', 'm', 'e', ' ', 'g', 'i', 'f', 'r', 't', 'Backspace', 'Backspace', 't', ' ', 'h', 'i', 'n', 't', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'u', 'o', 'u', 'Backspace', 'Backspace', 'Backspace', 'o', 'u', '.', 'Return']"
1,"['LeftShift', 'I', ' ', 'c', 'a', 'n', ""'"", 't', ' ', 't', 'e', 'l', 'l', ' ', 'y', 'o', 'u', ' ', 'w', 'h', 'e', 'n', ' ', 't', 'h', 'e', 'y', ""'"", 'l', 'l', ' ', 'b', 'e', ' ', 'b', 'a', 'c', 'k', '.', 'Return']"
2,"['LeftShift', 'S', 'h', 'o', 'u', 'l', 'd', ' ', 'w', 'e', ' ', 'e', 'm', 'a', 'i', 'l', ' ', 't', 'h', 'i', 's', ' ', 't', 'o', ' ', 'u', 'Backspace', 'u', 'y', 'Backspace', 'Backspace', 'y', 'o', 'u', ' ', 'o', 'r', ' ', 'f', 'a', 'x', ' ', 't', 'o', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'o', 'u', 's', 'e', 'LeftShift', '?', 'Return']"
3,"['LeftShift', 'L', 'e', 't', ' ', 'm', 'e', ' ', 'k', 'n', 'o', 'w', ' ', 'i', 'f', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 't', 'Backspace', 'w', 'i', 't', 'h', ' ', 't', 'h', 'i', 's', ' ', 'Backspace', '.', 'Return']"
4,"['LeftShift', 'W', 'e', ' ', 't', 'a', 'l', 'k', 'e', 'd', ' ', 'q', 'u', 'i', 'e', 't', 'l', 'y', ' ', 'w', 'h', 'i', 'e', ' ', 'Backspace', 'Backspace', 'l', 'e', ' ', 'e', 'v', 'e', 'r', 'y', 'b', 'o', 'd', 'y', ' ', 'g', 'a', 't', 'h', 'e', 'r', 'e', 'd', '.', 'Return']"
5,"['LeftShift', 'W', 'h', 'e', 'n', ' ', 'i', 't', ' ', 'i', 's', ' ', 'u', 's', 'e', 'd', ' ', 'w', 'e', ' ', 't', 'r', 'y', ' ', 't', 'Backspace', 'a', 'n', 'd', ' ', 'd', 'o', ' ', 'a', 's', ' ', 'm', 'a', 'n', 'y', ' ', 't', 'h', 'i', 'n', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'p', 'a', 't', 'h', 's', ' ', 'a', 's', ' ', 'p', 'o', 's', 's', 'u', 'i', 'Backspace', 'Backspace', 'i', 'b', 'l', 'e', '.', 'Return']"
6,"['LeftShift', 'S', 'u', 'n', 'd', 'a', 'y', ' ', 't', 'i', 'c', 'k', 'e', 't', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'p', 'n', 'Backspace', 'Backspace', 'o', 'n', ' ', 's', 'a', 'l', 'e', ' ', 'f', 'r', 'Backspace', 'o', 'r', ' ', 'w', 'e', 'e', 'k', 's', '.', 'Return']"
7,"['LeftShift', 'S', 'e', 'e', ' ', 'w', 'h', 'a', 't', ' ', 'c', 'o', 'n', 'c', 'e', 'r', 't', 's', ' ', 'w', 'e', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'r', ' ', 'y', 'o', 'u', ' ', 'i', 'n', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 't', 'y', '.', 'Return']"
8,"['LeftShift', 'I', ' ', 'a', 'm', ' ', 's', 'n', 'o', 'w', 'e', 'f', 'd', 'Backspace', 'Backspace', 'd', ' ', 'u', 'n', 'd', 'e', 'r', ' ', 'a', 'n', 'd', ' ', 'o', 'p', 'Backspace', 'u', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'o', 'f', 'f', 'i', 'v', 'Backspace', 'c', 'e', '.', 'Return']"
9,"['LeftShift', 'O', 'u', 'r', ' ', 'f', 'o', 'r', 'c', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'r', 'e', 'a', 'd', 'y', ' ', 't', 'o', ' ', 'c', 'o', 'm', 'e', ' ', 'i', 'm', 'm', 'e', 'd', 'i', 'a', 't', 'e', 'l', 'y', '.', 'Return']"
10,"['LeftShift', 'I', 't', ' ', 'm', 'u', 's', 't', ' ', 'b', 'e', ' ', 'a', 'c', 'c', 'o', 'm', 'p', 'l', 'i', 's', 'h', 'e', 'd', ' ', 'b', 'y', ' ', 'i', 'n', 'c', 'r', 'e', 'a', 's', 'e', 'd', ' ', 'p', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'v', 'i', 't', 'y', '.', 'Return']"
11,"['LeftShift', 'D', 'e', ' ', 'Backspace', 'Backspace', 'o', ' ', 'y', 'o', 'u', ' ', 'w', 'a', 'n', 't', ' ', 'O', 'T', ' ', 'e', 'a', 't', ' ', 'l', 'u', 'n', 'c', 'h', ' ', 's', 'o', 'm', 'e', 'w', 'h', 'e', 'r', 'e', ' ', 'b', 'e', 'f', 'o', 'r', 'e', 'LeftShift', '?', 'Return']"
12,"['LeftShift', 'I', ' ', 'w', 'i', 'l', 'l', ' ', 'n', 'e', 'e', 'd', ' ', 't', 'o', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'y', ' ', 'm', 'o', 'Backspace', 'e', 'm', 'o', 'r', 'y', ' ', 'r', 'e', 'f', 'r', 'e', 's', 'h', 'e', 'd', '.', 'Return']"
13,"['LeftShift', 'S', 'h', 'e', ' ', 's', 't', 'a', 'r', 't', 'e', 'd', ' ', 's', 'i', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'l', 'o', 'n', 'g', ' ', 's', 'o', 'f', 't', 'l', 'y', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'r', 'a', 'd', 'i', 'o', '.', 'Return']"
14,"['LeftShift', 'J', 'u', 's', 't', ' ', 't', 'o', 'l', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'LeftShift', 'I', ' ', 't', 'h', 'o', 'u', 'g', 'h', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'n', 'Backspace', 'e', 'Backspace', 'l', 'e', '.', 'Return']"
15,"['LeftShift', 'A', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', '.', 'Return']"
16,"['LeftShift', 'I', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'Backspace', 'Backspace', 'k', ' ', 't', 'h', 'a', 't', ' ', 'w', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'e', 'n', 'f', 'o', 'r', 'c', 'e', ' ', 't', 'h', 'e', ' ', 'a', 'r', 'Backspace', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't', '.', 'Return']"
0,"['LeftShift', 'L', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 's', 'o', 'm', 'e', ' ', 'g', 'i', 'f', 't', ' ', 'h', 'i', 'n', 't', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'o', 'u', '.', ' ', 'Backspace', 'Return']"
1,"['LeftShift', 'I', ' ', 'c', 'a', 'n', ""'"", 't', ' ', 't', 'e', 'l', 'l', ' ', 'y', 'o', 'u', ' ', 'w', 'h', 'e', 'n', ' ', 't', 'h', 'e', 'y', ""'"", 'l', 'l', ' ', 'b', 'e', ' ', 'b', 'a', 'c', 'k', '.', 'Return']"
2,"['LeftShift', 'S', 'h', 'e', ' ', 's', 't', 'a', 'r', 't', 'e', 'd', ' ', 's', 'i', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'l', 'o', 'n', 'g', ' ', 's', 'o', 'f', 't', 'l', 'y', ' ', 'y', 'Backspace', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'r', 'a', 'd', 'i', 'o', '.', ' ', 'Return']"
3,"['LeftShift', 'L', 'e', 't', ' ', 'm', 'e', ' ', 'k', 'n', 'o', 'w', ' ', 'i', 'f', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'p', 'r', 'o', 'n', 'Backspace', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 'h', 'Backspace', 't', 'h', ' ', 't', 'h', 'i', 's', '.', 'Return']"
4,"['LeftShift', 'S', 'h', 'o', 'u', 'l', 'd', ' ', 'w', 'e', ' ', 'e', 'm', 'a', 'i', 'l', ' ', 't', 'o', ' ', 'Backspace', 'Backspace', 'Backspace', 't', 'h', 'i', 's', ' ', 't', 'o', ' ', 'y', 'o', 'u', ' ', 'o', 'r', ' ', 'f', 'a', 'x', ' ', 't', 'o', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'o', 'u', 's', 'e', 'LeftShift', '>', 'Backspace', 'LeftShift', '?', 'Return']"
5,"['LeftShift', 'D', 'o', ' ', 'y', 'o', 'u', ' ', 'w', 'a', 'n', 't', ' ', 't', 'o', ' ', 'e', 'a', 't', ' ', 'l', 'u', 'n', 'c', 'h', ' ', 's', 'o', 'm', 'e', 'w', 'h', 'e', 'r', 'e', ' ', 'b', 'e', 'f', 'o', 'r', 'e', 'LeftShift', '?', 'Return']"
6,"['LeftShift', 'I', 't', ' ', 'm', 'u', 's', 't', ' ', 'b', 'e', ' ', 'a', 'c', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 'd', ' ', 'b', 'u', 'Backspace', 'y', ' ', 'i', 'n', 'c', 'r', 'e', 'a', 's', 'e', 'd', ' ', 'p', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'v', 'i', 't', 'y', '.', 'Return']"
7,"['LeftShift', 'LeftShift', 'A', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'h', 'a', 's', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', '.', ' ', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'b', 'e', 'e', 'n', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', '.', 'Return']"
8,"['LeftShift', 'I', ' ', 'a', 'm', ' ', 's', 'n', 'o', 'w', 'e', 'd', ' ', 'u', 'n', 'd', 'e', 'r', ' ', 'a', 'd', ' ', 'Backspace', 'Backspace', 'n', 'd', ' ', 'o', 'u', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'o', 'f', 'f', 'i', 'c', 'e', '.', 'Return']"
9,"['LeftShift', 'I', ' ', 't', 'h', 'i', 'n', 'k', ' ', 't', 'h', 'a', 't', ' ', 'w', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'f', 'Backspace', 'e', 'n', 'f', 'o', 'r', 'c', 'e', ' ', 't', 'h', 'e', ' ', 'a', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't', '.', 'Return']"
10,"['LeftShift', 'I', ' ', 'w', 'i', 'l', 'l', ' ', 'n', 'e', 'e', 'd', ' ', 't', 'o', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'y', ' ', 'm', 'e', 'm', 'o', 'r', 'y', ' ', 'r', 'e', 'f', 'r', 'e', 'h', 'Backspace', 's', 'h', 'e', 'd', 'f', 'Backspace', '.', 'Return']"
11,"['LeftShift', 'S', 'e', 'e', ' ', 'w', 'h', 'a', 't', ' ', 'c', 'o', 'n', 'c', 'e', 'r', 't', 's', ' ', 'w', 'e', ' ', 'h', 'a', 'v', ' ', 'Backspace', 'e', ' ', 'o', 'f', 'Backspace', 'Backspace', 'f', 'o', 'r', ' ', 'y', 'o', 'u', ' ', 'i', 'n', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 't', 'y', '.', 'Return']"
12,"['LeftShift', 'O', 'u', 'r', ' ', 'f', 'o', 'r', 'c', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'r', 'e', 'a', 'd', 'y', ' ', 't', 'o', ' ', 'c', 'o', 'm', 'e', ' ', 'i', 'm', 'm', 'e', 'd', 'i', 'a', 't', 'e', 'l', 'y', '.', '\\', 'Backspace', 'Return']"
13,"['LeftShift', 'W', 'h', 'e', 'n', ' ', 'i', 't', ' ', 'i', 's', ' ', 'u', 's', 'e', 'd', ' ', 'w', 'e', ' ', 't', 'r', 'u', 'Backspace', 'y', ' ', 'r', 'Backspace', 'a', 'n', 'd', ' ', 'd', 'o', ' ', 'a', 's', ' ', 'm', 'a', 'n', 'y', ' ', 'p', 'a', 't', 'h', 's', ' ', 'a', 's', ' ', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '/', 'Backspace', '.', 'Return']"
14,"['LeftShift', 'S', 'u', 'n', 'd', 'a', 'y', ' ', 't', 'i', 'c', 'k', 'e', 't', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'o', 'n', ' ', 's', 'a', 'l', 'e', ' ', 'f', 'o', 'r', ' ', 'w', 'e', 'e', 'k', 's', '.', 'Return']"
15,"['LeftShift', 'J', 'u', 's', 't', ' ', 't', 'o', 'l', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'LeftShift', 'I', ' ', 't', 'h', 'o', 'u', 'g', 'h', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '.', ' ', 'Return']"
16,"['LeftShift', 'W', 'e', ' ', 'w', 'Backspace', 't', 'a', 'l', 'k', 'e', 'd', ' ', 'q', 'u', 'i', 'r', 'Backspace', 'e', 't', 'l', 'y', ' ', 'w', 'h', 'i', 'l', 'e', ' ', 'e', 'v', 'v', 'Backspace', 'e', 'r', 'y', 'b', 'o', 'd', 'y', ' ', 'g', 'a', 't', 'h', 'e', 'r', 'e', 'd', '.', 'Return']"
0,"['l', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'i', 'r', 'Backspace', 'Backspace', 'r', ' ', 's', 'o', 'm', 'e', ' ', 'g', 'i', 'f', 't', ' ', 'h', 'i', 'n', 't', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'o', 'u', '.', ' ', 'Backspace', 'Return']"
1,"['i', ' ', 'c', 'a', 'n', 't', ' ', 't', 'e', 'w', 'Backspace', 'Backspace', 'e', 'l', 'l', ' ', 'y', 'o', 'u', ' ', 'w', 'h', 'e', 'n', ' ', 't', 'h', 'e', 'u', 'Backspace', 'y', ""'"", 'l', 'l', ' ', 'b', 'e', ' ', 'b', 'a', 'c', 'k', '.', 'Return']"
2,"['w', 'h', 'e', 'n', ' ', 'i', 't', ' ', 'i', 's', ' ', 'u', 's', 'e', 'd', ' ', 'w', 'e', ' ', 't', 'r', 'y', ' ', 'a', 'n', 'd', ' ', 'd', 'o', ' ', 'a', 's', ' ', 'm', 'a', 'n', 'y', ' ', 'n', 'p', 'a', 't', 'h', 's', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'p', 'a', 't', 'h', 's', ' ', 'a', 's', ' ', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', 'Return']"
3,"['a', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'f', 'o', 'o', 'Backspace', 'Backspace', 'Backspace', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', '.', 'Return']"
4,"['i', ' ', 't', 'h', 'i', 'k', ' ', 't', 'h', 'a', 't', ' ', 'w', 'e', ' ', 's', 'h', 'u', 'l', 'd', 'Backspace', 'Backspace', 'Backspace', 'o', 'u', 'l', 'd', ' ', 'e', 'n', 'f', 'o', 'r', 'c', 'e', ' ', 't', 'h', 'e', ' ', 'g', 'o', 'v', 'e', 'r', 'n', 'm', 't', 'e', 'Backspace', 'Backspace', 'Backspace', 'e', 'n', 'Backspace', 'Backspace', 'm', 'e', 't', 'Backspace', 'n', 't', '.', 'Return']"
5,"['i', ' ', 'w', 'i', 'l', 'l', ' ', 's', 'e', 'n', 'd', ' ', 't', 'h', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'n', 'e', 'e', 'd', ' ', 't', 'o', ' ', 'h', 'a', ' ', 'v', 'Backspace', 'Backspace', 'Backspace', 'a', 'v', 'e', ' ', 't', 'h', 'Backspace', 'Backspace', 'm', 'y', ' ', 'm', 'i', 'o', 'Backspace', 'n', 'e', 'y', ' ', 'f', 'Backspace', 'r', 'e', 'f', 'r', 'e', 's', 'g', 'e', 'd', 'Backspace', 'Backspace', 'Backspace', 'h', 'e', 'd', '.', 'Return']"
6,"['j', 'u', 's', 't', ' ', 't', 'o', 'm', 'Backspace', 'l', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'i', ' ', 'w', 'Backspace', 't', 'h', 'o', 'u', 'g', 'h', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '.', 'Return']"
7,"['d', 'o', ' ', 'o', 'u', 'Backspace', 'Backspace', 'y', 'o', 'i', 'u', ' ', 'Backspace', 'Backspace', 'Backspace', 'o', ' ', 'w', 'a', 'n', 't', ' ', 't', 'o', 'o', 'Backspace', ' ', 'e', 'a', 't', ' ', 'l', 'u', 'n', 'c', 'h', ' ', 's', 'o', 'e', 'n', 'Backspace', 'Backspace', 'm', 'e', 'w', 'h', 'e', 'r', 'e', ' ', 'b', 'e', 'f', 'o', 'r', 'e', 'RightShift', '?', 'Return']"
8,"['i', 't', ' ', 'Backspace', 'Backspace', 'Backspace', 'LeftShift', 'I', 't', ' ', 'm', 'u', 's', 't', ' ', 'b', 'e', ' ', 'a', 'c', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 'd', ' ', 'b', 'y', ' ', 'i', 'n', 'c', 'h', 'Backspace', 'r', 'e', 'a', 's', 'e', 'd', ' ', 'p', 'o', 'Backspace', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'v', 'i', 't', 'y', '/', 'Return']"
