,bf_type,bf_type,bf_type,wf_type,wf_type,wf_type,wf_type
,low,med,high,pseudo,low,med,high
mean_IKI,0.2069250732557771 ± 0.0518383782677374,0.1704975803673089 ± 0.0381631808946021,0.14248044908800886 ± 0.04086670910986201,0.1820301217705574 ± 0.04794748831341405,0.183809291793948 ± 0.049128872034520155,0.16488758501408976 ± 0.039095259778288934,0.15523850908481576 ± 0.03733580808545664
sd_IKI,0.06150203252379343 ± 0.02671169012774646,0.0424569569861295 ± 0.01756754811181098,0.03764246652888791 ± 0.021925567939060437,0.054821938650746804 ± 0.027484772109863397,0.05301475749162276 ± 0.02545318511889637,0.043667437175643385 ± 0.01925130906045963,0.03392302504173912 ± 0.014637196719601977
cv_IKI,0.25632560916008384 ± 0.05670963922710657,0.2213137631353601 ± 0.04677386262391293,0.2276317902513337 ± 0.0638993621892951,0.25685081578685415 ± 0.07315870558049373,0.24728545161309382 ± 0.05689480510602377,0.22748506831867996 ± 0.05165359532336109,0.2031681578027872 ± 0.05297144135849614
mean_RT,nan ± nan,nan ± nan,nan ± nan,0.9103889400570887 ± 0.1977938240117375,0.8159564725466112 ± 0.1632439906571282,0.7885730204960973 ± 0.13697203804014685,0.7511988642772548 ± 0.1443260450177775
sd_RT,nan ± nan,nan ± nan,nan ± nan,0.137594689448947 ± 0.050104179870697436,0.10968131843256301 ± 0.04565855478439508,0.10327319646802562 ± 0.039821101787235004,0.10309094622887327 ± 0.04219543613999031
cv_RT,nan ± nan,nan ± nan,nan ± nan,0.13976453063976343 ± 0.04024006150715503,0.12175583014550073 ± 0.03223401875572816,0.11937771831729678 ± 0.03851009571676054,0.1252970615318857 ± 0.03638191582552514
